Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance
HYDROXYCHLOROQUINE,HYDROXYCHLOROQUINE,https://pubchem.ncbi.nlm.nih.gov/compound/3652,FEATURED,118-42-3,"25526-45-8, 117456-74-3",COMPOUND
HYDROXYETHYLCELLULOSE,HYDROXYETHYLCELLULOSE,https://pubchem.ncbi.nlm.nih.gov/compound/4327536,FEATURED,9004-62-0,,COMPOUND
HYDROXYLYSINE,HYDROXYLYSINE,https://pubchem.ncbi.nlm.nih.gov/compound/3032849,FEATURED,1190-94-9,"30528-11-1, 28902-93-4, 27287-98-5, 24722-60-9, 13189-95-2",COMPOUND
HYDROXYPROGESTERONE,HYDROXYPROGESTERONE,https://pubchem.ncbi.nlm.nih.gov/compound/6238,FEATURED,"68-96-2, 110850-01-6","67085-08-9, 1050677-68-3, 1050677-68-3, 67085-08-9",COMPOUND
HYDROXYPROLINE,HYDROXYPROLINE,https://pubchem.ncbi.nlm.nih.gov/compound/5810,FEATURED,"618-28-0, 51-35-4","138-46-5, 17210-41-2, 21105-75-9, 24784-87-0, 54733-36-7",COMPOUND
HYDROXYPROPYLCHITOSAN,HYDROXYPROPYLCHITOSAN,https://pubchem.ncbi.nlm.nih.gov/compound/129634078,FEATURED,N/A,,COMPOUND
HYDROXYTOLUIC_ACID,HYDROXYTOLUIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/6738,FEATURED,83-40-9,,COMPOUND
HYDROXYZINE,HYDROXYZINE,https://pubchem.ncbi.nlm.nih.gov/compound/3658,FEATURED,68-88-2,,COMPOUND
HYLAN_GEL_POLYSACCHARIDE,HYLAN GEL POLYSACCHARIDE,https://pubmed.ncbi.nlm.nih.gov/17216398,RELEVANT,N/A,,N/A
HYOSCYAMINE,HYOSCYAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/Hyoscyamine,FEATURED,"101-31-5, 5934-50-9","1892-81-5, 28905-40-0, 38411-64-2, 47170-56-9, 8000-07-5, 1891070-00-0",COMPOUND
HYPERICUM_PERFORATUM,HYPERICUM PERFORATUM,https://pubchem.ncbi.nlm.nih.gov/compound/3663,RELEVANT,"548-04-9, 1372719-41-9",1372719-41-9,COMPOUND
HYPOCHLOROUS_ACID,HYPOCHLOROUS ACID,https://pubchem.ncbi.nlm.nih.gov/compound/24341,FEATURED,"7790-92-3, 14380-61-1","14333-29-0, 26190-92-1, 1338439-06-7, 1338439-06-7, 14333-29-0, 26190-92-1, 14333-29-0, 26190-92-1",COMPOUND
HYPOSULFUROUS_ACID,HYPOSULFUROUS ACID,https://pubchem.ncbi.nlm.nih.gov/substance/162221488,RELEVANT,N/A,,SUBSTANCE
HYPROLOSE,HYPROLOSE,https://pubchem.ncbi.nlm.nih.gov/substance/472409612,RELEVANT,N/A,,SUBSTANCE
HYPROMELLOSE,HYPROMELLOSE,https://pubchem.ncbi.nlm.nih.gov/compound/57503849,RELEVANT,N/A,,COMPOUND
HYSSOPUS_OFFICINALIS,HYSSOPUS OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/483936004,RELEVANT,N/A,,SUBSTANCE
IBALIZUMAB,IBALIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Ibalizumab,FEATURED,680188-33-4,872357-57-8,COMPOUND
IBANDRONIC_ACID,IBANDRONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/60852,FEATURED,114084-78-5,,COMPOUND
IBRITUMOMAB_TIUXETAN,IBRITUMOMAB TIUXETAN,https://pubchem.ncbi.nlm.nih.gov/compound/Ibritumomab%20Tiuxetan,FEATURED,206181-63-7,,COMPOUND
IBRUTINIB,IBRUTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/24821094,FEATURED,936563-96-1,,COMPOUND
IBUPROFEN,IBUPROFEN,https://pubchem.ncbi.nlm.nih.gov/compound/3672,FEATURED,15687-27-1,"58560-75-1, 139466-08-3, 139466-08-3, 58560-75-1, 58560-75-1",COMPOUND
IBUTILIDE,IBUTILIDE,https://pubchem.ncbi.nlm.nih.gov/compound/60753,FEATURED,"122647-31-8, 130350-52-6, 122647-32-9",100632-81-3,COMPOUND
ICATIBANT,ICATIBANT,https://pubchem.ncbi.nlm.nih.gov/compound/6918173,FEATURED,130308-48-4,,COMPOUND
ICHTYOLAMMONIUM,ICHTYOLAMMONIUM,N/A,Not Found,N/A,N/A,N/A
ICOSAPENT,ICOSAPENT,https://pubchem.ncbi.nlm.nih.gov/compound/446284,FEATURED,10417-94-4,25377-48-4,COMPOUND
IDARUBICIN,IDARUBICIN,https://pubchem.ncbi.nlm.nih.gov/compound/42890,FEATURED,58957-92-9,,COMPOUND
IDARUCIZUMAB,IDARUCIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Idarucizumab,FEATURED,1362509-93-0,,COMPOUND
IDEBENONE,IDEBENONE,https://pubchem.ncbi.nlm.nih.gov/compound/3686,FEATURED,58186-27-9,,COMPOUND
IDELALISIB,IDELALISIB,https://pubchem.ncbi.nlm.nih.gov/compound/11625818,FEATURED,"870281-82-6, 1146702-54-6",,COMPOUND
IDOXURIDINE,IDOXURIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/5905,FEATURED,54-42-2,"1336-77-2, 888-04-0, 1556847-71-2, 1222844-74-7, 1336-77-2, 1556847-71-2, 888-04-0, 888-04-0",COMPOUND
IDURSULFASE,IDURSULFASE,https://pubchem.ncbi.nlm.nih.gov/compound/Idursulfase,FEATURED,50936-59-9,,COMPOUND
IFOSFAMIDE,IFOSFAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3690,FEATURED,3778-73-2,"36341-88-5, 84711-20-6",COMPOUND
ILEX_AQUIFOLIUM,ILEX AQUIFOLIUM,https://pubchem.ncbi.nlm.nih.gov/compound/Ilex%20aquifolium%20flowering%20top,FEATURED,N/A,,COMPOUND
ILEX_PARAGUARIENSIS,ILEX PARAGUARIENSIS,https://pubchem.ncbi.nlm.nih.gov/substance/482030732,RELEVANT,N/A,,SUBSTANCE
ILOPERIDONE,ILOPERIDONE,https://pubchem.ncbi.nlm.nih.gov/compound/71360,FEATURED,133454-47-4,,COMPOUND
ILOPROST,ILOPROST,https://pubchem.ncbi.nlm.nih.gov/compound/5311181,FEATURED,78919-13-8,73873-87-7,COMPOUND
IMATINIB,IMATINIB,https://pubchem.ncbi.nlm.nih.gov/compound/5291,FEATURED,152459-95-5,,COMPOUND
IMIGLUCERASE,IMIGLUCERASE,https://pubchem.ncbi.nlm.nih.gov/compound/Imiglucerase,FEATURED,154248-97-2,,COMPOUND
IMIPENEM,IMIPENEM,https://pubchem.ncbi.nlm.nih.gov/compound/104838,FEATURED,"64221-86-9, 74431-23-5","127644-14-8, 75902-88-4, 345631-68-7, 345631-68-7, 127644-14-8",COMPOUND
IMIPRAMINE,IMIPRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3696,FEATURED,50-49-7,,COMPOUND
IMIQUIMOD,IMIQUIMOD,https://pubchem.ncbi.nlm.nih.gov/compound/57469,FEATURED,"99011-02-6, 9050-31-1","168395-88-8, 37324-31-5, 405108-66-9, 42612-68-0, 52624-22-3, 9087-42-7",COMPOUND
IMMUNOGLOBULIN_ANTI-CLOSTRIDIUM_TETANI_TOXIN,IMMUNOGLOBULIN ANTI-CLOSTRIDIUM TETANI TOXIN,N/A,Not Found,N/A,N/A,N/A
IMMUNOGLOBULIN_ANTI-CYTOMEGALOVIRUS,IMMUNOGLOBULIN ANTI-CYTOMEGALOVIRUS,https://pubchem.ncbi.nlm.nih.gov/substance/135278088,RELEVANT,138660-96-5,,SUBSTANCE
IMMUNOGLOBULIN_ANTI-D_(RHO),IMMUNOGLOBULIN ANTI-D (RHO),https://pubchem.ncbi.nlm.nih.gov/substance/482030774,RELEVANT,N/A,,SUBSTANCE
IMMUNOGLOBULIN_ANTI-HEPATITIS_B_SURFACE_ANTIGEN,IMMUNOGLOBULIN ANTI-HEPATITIS B SURFACE ANTIGEN,https://pubchem.ncbi.nlm.nih.gov/substance/135275397,RELEVANT,569658-79-3,,SUBSTANCE
IMMUNOGLOBULIN_ANTI-PARAMYXOVIRUS_PAROTITIDIS,IMMUNOGLOBULIN ANTI-PARAMYXOVIRUS PAROTITIDIS,N/A,Not Found,N/A,N/A,N/A
IMMUNOGLOBULIN_ANTI-RABIES,IMMUNOGLOBULIN ANTI-RABIES,https://pubchem.ncbi.nlm.nih.gov/substance/485665479,RELEVANT,2618667-99-3,,SUBSTANCE
IMMUNOGLOBULIN_ANTI-THYMOCYTE,IMMUNOGLOBULIN ANTI-THYMOCYTE,https://pubchem.ncbi.nlm.nih.gov/substance/482029352,RELEVANT,N/A,,SUBSTANCE
IMMUNOGLOBULIN_ANTI-VARICELLA-ZOSTER,IMMUNOGLOBULIN ANTI-VARICELLA-ZOSTER,https://pubmed.ncbi.nlm.nih.gov/2569560,RELEVANT,N/A,,N/A
IMMUNOGLOBULIN_ANTIVENOM_CROTALIDAE_SNAKES,IMMUNOGLOBULIN ANTIVENOM CROTALIDAE SNAKES,https://pubmed.ncbi.nlm.nih.gov/28601268,RELEVANT,N/A,,N/A
IMMUNOGLOBULIN_ANTIVENOM_MICRURUS_FULVIUS,IMMUNOGLOBULIN ANTIVENOM MICRURUS FULVIUS,https://pubmed.ncbi.nlm.nih.gov/30879857,RELEVANT,N/A,,N/A
IMMUNOGLOBULIN_ANTIVENOM_SNAKES,IMMUNOGLOBULIN ANTIVENOM SNAKES,https://pubmed.ncbi.nlm.nih.gov/29045429,RELEVANT,N/A,,N/A
IMMUNOGLOBULIN_ANTI_RESPIRATORY_SYNCYTIAL_VIRUS,IMMUNOGLOBULIN ANTI RESPIRATORY SYNCYTIAL VIRUS,https://pubchem.ncbi.nlm.nih.gov/substance/481101776,RELEVANT,N/A,,SUBSTANCE
IMMUNOGLOBULIN_BASE,IMMUNOGLOBULIN BASE,https://pubchem.ncbi.nlm.nih.gov/bioassay/1845756,RELEVANT,N/A,,N/A
INDACATEROL,INDACATEROL,https://pubchem.ncbi.nlm.nih.gov/compound/6918554,FEATURED,312753-06-3,870265-20-6,COMPOUND
INDAPAMIDE,INDAPAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3702,FEATURED,26807-65-8,49564-58-1,COMPOUND
INDIGO_CARMINE,INDIGO CARMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2723854,FEATURED,860-22-0,,COMPOUND
INDINAVIR,INDINAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/5362440,FEATURED,150378-17-9,"166746-42-5, 216884-06-9, 166746-42-5",COMPOUND
INDOCYANINE_GREEN,INDOCYANINE GREEN,https://pubchem.ncbi.nlm.nih.gov/compound/11967809,FEATURED,3599-32-4,"1814902-08-3, 58984-23-9",COMPOUND
INDOLE-3-CARBINOL,INDOLE-3 CARBINOL,https://pubchem.ncbi.nlm.nih.gov/compound/3712,FEATURED,700-06-1,,COMPOUND
INDOMETACIN,INDOMETACIN,https://pubchem.ncbi.nlm.nih.gov/compound/3715,FEATURED,53-86-1,"37242-43-6, 91853-74-6, 503560-73-4, 37242-43-6, 503560-73-4, 91853-74-6, 503560-73-4, 91853-74-6, 37242-43-6",COMPOUND
INFANT_FLOURS,INFANT FLOURS,https://pubmed.ncbi.nlm.nih.gov/36943491,RELEVANT,N/A,,N/A
INFANT_FOOD_MODIFIED,INFANT FOOD MODIFIED,https://pubmed.ncbi.nlm.nih.gov/37862989,RELEVANT,N/A,,N/A
INFANT_MILKS,INFANT MILKS,https://pubmed.ncbi.nlm.nih.gov/27146509,RELEVANT,N/A,,N/A
INFLIXIMAB,INFLIXIMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Infliximab,FEATURED,170277-31-3,,COMPOUND
INFLUENZA_NOSODE,INFLUENZA NOSODE,https://pubchem.ncbi.nlm.nih.gov/substance/482029894,RELEVANT,N/A,,SUBSTANCE
INGENOL_MEBUTATE,INGENOL MEBUTATE,https://pubchem.ncbi.nlm.nih.gov/compound/6918670,FEATURED,75567-37-2,849146-39-0,COMPOUND
INHALER_DEVICE,INHALER DEVICE,https://pubmed.ncbi.nlm.nih.gov/37914418,RELEVANT,N/A,,N/A
INOSITOL,INOSITOL,https://pubchem.ncbi.nlm.nih.gov/compound/892,FEATURED,"551-72-4, 643-12-9, 6917-35-7, 87-89-8, 488-54-0, 488-55-1, 488-58-4, 488-59-5, 576-63-6, 643-10-7, 38876-99-2","53319-35-0, 887751-76-0, 36190-90-6, 19030-27-4, 173524-45-3",COMPOUND
INOSITOL_NICOTINATE,INOSITOL NICOTINATE,https://pubchem.ncbi.nlm.nih.gov/compound/3720,FEATURED,6556-11-2,"14154-33-7, 2090-94-0",COMPOUND
INOTUZUMAB_OZOGAMICIN,INOTUZUMAB OZOGAMICIN,https://pubchem.ncbi.nlm.nih.gov/compound/Inotuzumab%20Ozogamicin,FEATURED,635715-01-4,,COMPOUND
INSULIN_ASPART,INSULIN ASPART,https://pubchem.ncbi.nlm.nih.gov/compound/Insulin%20Aspart,FEATURED,"116094-23-6, 877034-90-7","139532-40-4, 1024611-56-0",COMPOUND
INSULIN_ASPART_PROTAMINE_CRYSTALLINE,INSULIN ASPART PROTAMINE CRYSTALLINE,https://pubchem.ncbi.nlm.nih.gov/substance/481101698,RELEVANT,N/A,,SUBSTANCE
INSULIN_BOVINE_BASE,INSULIN BOVINE BASE,https://pubmed.ncbi.nlm.nih.gov/9027564,RELEVANT,N/A,,N/A
INSULIN_BOVINE_ISOPHANE,INSULIN BOVINE ISOPHANE,https://pubmed.ncbi.nlm.nih.gov/3905477,RELEVANT,N/A,,N/A
INSULIN_BOVINE_ZINC_SUSPENSION_(COMPOUND),INSULIN BOVINE ZINC SUSPENSION (COMPOUND),N/A,Not Found,N/A,N/A,N/A
INSULIN_DEGLUDEC,INSULIN DEGLUDEC,https://pubchem.ncbi.nlm.nih.gov/compound/Insulin%20Degludec,FEATURED,844439-96-9,886983-20-6,COMPOUND
INSULIN_DETEMIR,INSULIN DETEMIR,https://pubchem.ncbi.nlm.nih.gov/compound/Insulin%20Detemir,FEATURED,169148-63-4,"201305-44-4, 270588-25-5",COMPOUND
INSULIN_GLARGINE,INSULIN GLARGINE,https://pubchem.ncbi.nlm.nih.gov/compound/Insulin%20Glargine,FEATURED,160337-95-1,"202757-02-6, 224055-72-5, 690638-50-7",COMPOUND
INSULIN_GLULISINE,INSULIN GLULISINE,https://pubchem.ncbi.nlm.nih.gov/compound/Insulin%20Glulisine,FEATURED,207748-29-6,,COMPOUND
INSULIN_HUMAN_BASE,INSULIN HUMAN BASE,https://pubchem.ncbi.nlm.nih.gov/compound/77999,RELEVANT,122320-73-4,,COMPOUND
INSULIN_HUMAN_ISOPHANE,INSULIN HUMAN ISOPHANE,https://pubchem.ncbi.nlm.nih.gov/compound/24839622,RELEVANT,8049-62-5,"99551-09-4, 9048-96-8, 9004-16-4",COMPOUND
INSULIN_HUMAN_ZINC_SUSPENSION_(COMPOUND),INSULIN HUMAN ZINC SUSPENSION (COMPOUND),https://pubchem.ncbi.nlm.nih.gov/compound/24839622,RELEVANT,8049-62-5,"99551-09-4, 9048-96-8, 9004-16-4",COMPOUND
INSULIN_HUMAN_ZINC_SUSPENSION_(CRYSTALLINE),INSULIN HUMAN ZINC SUSPENSION (CRYSTALLINE),https://pubchem.ncbi.nlm.nih.gov/compound/24839622,RELEVANT,8049-62-5,"99551-09-4, 9048-96-8, 9004-16-4",COMPOUND
INSULIN_LISPRO,INSULIN LISPRO,https://pubchem.ncbi.nlm.nih.gov/compound/Insulin%20Lispro,FEATURED,133107-64-9,,COMPOUND
INSULIN_LISPRO_PROTAMINE,INSULIN LISPRO PROTAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/Insulin%20Lispro,FEATURED,133107-64-9,,COMPOUND
INSULIN_PORCINE_BASE,INSULIN PORCINE BASE,https://pubmed.ncbi.nlm.nih.gov/7588248,RELEVANT,N/A,,N/A
INSULIN_PORCINE_ISOPHANE,INSULIN PORCINE ISOPHANE,https://pubchem.ncbi.nlm.nih.gov/compound/24839622,RELEVANT,8049-62-5,"99551-09-4, 9048-96-8, 9004-16-4",COMPOUND
INSULIN_PORCINE_ZINC_SUSPENSION_(COMPOUND),INSULIN PORCINE ZINC SUSPENSION (COMPOUND),https://pubchem.ncbi.nlm.nih.gov/compound/24839622,RELEVANT,8049-62-5,"99551-09-4, 9048-96-8, 9004-16-4",COMPOUND
INTERFERON_ALFA-2A,INTERFERON ALFA-2A,https://pubchem.ncbi.nlm.nih.gov/compound/Interferon%20Alfa-2a,FEATURED,"76543-88-9, 77907-69-8","206668-00-0, 93354-90-6, 77907-69-8",COMPOUND
INTERFERON_ALFA-2B,INTERFERON ALFA-2B,https://pubchem.ncbi.nlm.nih.gov/compound/Interferon%20Alfa-2B,FEATURED,"98530-12-2, 99210-65-8","99210-65-8, 371759-47-6, 99210-65-8",COMPOUND
INTERFERON_ALFA-N3,INTERFERON ALFA-N3,https://pubchem.ncbi.nlm.nih.gov/compound/Interferon%20Alfa-N3,FEATURED,N/A,,COMPOUND
INTERFERON_ALFACON-1,INTERFERON ALFACON-1,https://pubchem.ncbi.nlm.nih.gov/compound/Interferon%20Alfacon-1,FEATURED,118390-30-0,2043378-94-3,COMPOUND
INTERFERON_BETA-1A,INTERFERON BETA-1A,https://pubchem.ncbi.nlm.nih.gov/compound/Interferon%20Beta-1A,FEATURED,"145258-61-3, 194739-10-1",220581-49-7,COMPOUND
INTERFERON_BETA-1B,INTERFERON BETA-1B,https://pubchem.ncbi.nlm.nih.gov/compound/Interferon%20Beta-1B,FEATURED,145155-23-3,,COMPOUND
INTERFERON_GAMMA-1B,INTERFERON GAMMA-1B,https://pubchem.ncbi.nlm.nih.gov/substance/481101720,RELEVANT,N/A,,SUBSTANCE
INTRINSIC_FACTOR,INTRINSIC FACTOR,https://pubchem.ncbi.nlm.nih.gov/compound/24848138,FEATURED,9008-12-2,,COMPOUND
INULA_RACEMOSA,INULA RACEMOSA,https://pubchem.ncbi.nlm.nih.gov/substance/482030137,RELEVANT,N/A,,SUBSTANCE
INULIN,INULIN,https://pubchem.ncbi.nlm.nih.gov/compound/Inulin,FEATURED,9005-80-5,"189444-25-5, 887747-94-6, 1252047-46-3, 380230-05-7, 2417296-06-9, 1252047-46-3, 189444-25-5, 2417296-06-9, 380230-05-7, 887747-94-6, 887747-94-6, 380230-05-7, 1252047-46-3",COMPOUND
INVERTASE,INVERTASE,https://pubchem.ncbi.nlm.nih.gov/substance/348266890,RELEVANT,N/A,,SUBSTANCE
IODINATED_POPPYSEED_OIL,IODINATED POPPYSEED OIL,https://pubchem.ncbi.nlm.nih.gov/substance/135304584,RELEVANT,8002-46-8,"71892-90-5, 79817-44-0, 87435-86-7",SUBSTANCE
IODINE,IODINE,https://pubchem.ncbi.nlm.nih.gov/compound/807,FEATURED,7553-56-2,"24503-90-0, 8012-81-5, 8012-85-9, 8031-47-8, 8012-85-9, 8012-81-5, 8031-47-8",COMPOUND
IODIXANOL,IODIXANOL,https://pubchem.ncbi.nlm.nih.gov/compound/3724,FEATURED,92339-11-2,,COMPOUND
IODOFORM,IODOFORM,https://pubchem.ncbi.nlm.nih.gov/compound/6374,FEATURED,75-47-8,,COMPOUND
IOHEXOL,IOHEXOL,https://pubchem.ncbi.nlm.nih.gov/compound/3730,FEATURED,66108-95-0,,COMPOUND
IOPAMIDOL,IOPAMIDOL,https://pubchem.ncbi.nlm.nih.gov/compound/65492,FEATURED,"60166-93-0, 66108-95-0",,COMPOUND
IOPANOIC_ACID,IOPANOIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/3735,FEATURED,96-83-3,,COMPOUND
IOPODIC_ACID,IOPODIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/5241,FEATURED,"5587-89-3, 1221-56-3",,COMPOUND
IOPROMIDE,IOPROMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3736,FEATURED,73334-07-3,,COMPOUND
IOTALAMIC_ACID,IOTALAMIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/3737,FEATURED,2276-90-6,5551-54-2,COMPOUND
IOVERSOL,IOVERSOL,https://pubchem.ncbi.nlm.nih.gov/compound/3741,FEATURED,"87771-40-2, 8771-40-2",,COMPOUND
IOXAGLIC_ACID,IOXAGLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/3742,FEATURED,59017-64-0,,COMPOUND
IOXILAN,IOXILAN,https://pubchem.ncbi.nlm.nih.gov/compound/3743,FEATURED,107793-72-6,,COMPOUND
IPILIMUMAB,IPILIMUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Ipilimumab,FEATURED,477202-00-9,799813-32-4,COMPOUND
IPRATROPIUM_BROMIDE,IPRATROPIUM BROMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/Ipratropium%20Bromide,FEATURED,"22254-24-6, 66985-17-9",197647-05-5,COMPOUND
IRBESARTAN,IRBESARTAN,https://pubchem.ncbi.nlm.nih.gov/compound/3749,FEATURED,138402-11-6,,COMPOUND
IRINOTECAN,IRINOTECAN,https://pubchem.ncbi.nlm.nih.gov/compound/60838,FEATURED,"97682-44-5, 100286-90-6",,COMPOUND
IRON_DEXTRAN,IRON DEXTRAN,https://pubchem.ncbi.nlm.nih.gov/compound/Iron%20Dextran,FEATURED,9004-66-4,"53858-58-5, 8050-93-9, 11129-47-8, 37318-94-8, 37349-14-7, 50643-00-0, 9009-88-5, 9044-58-0, 9061-47-6, 9009-88-5, 8050-93-9, 8012-47-3, 37349-14-7, 50643-00-0, 37318-94-8, 9044-58-0, 53858-58-5, 9061-47-6",COMPOUND
IRON_FERRIC,IRON FERRIC,https://pubchem.ncbi.nlm.nih.gov/compound/24380,RELEVANT,7705-08-0,"12178-83-5, 130622-20-7, 774583-10-7",COMPOUND
IRON_FERROUS,IRON FERROUS,https://pubchem.ncbi.nlm.nih.gov/compound/54670067,RELEVANT,"50-81-7, 6730-29-6, 53262-66-1, 62624-30-0","129940-97-2, 14536-17-5, 30208-61-8, 50976-75-5, 56172-55-5, 56533-05-2, 57304-74-2, 57606-40-3, 89924-69-6, 154170-90-8, 259133-78-3, 623158-95-2, 884381-69-5, 885512-24-3, 88845-26-5, 882690-91-7, 1018124-03-2, 1129294-89-8, 1428525-25-0, 1703051-92-6, 896436-13-8, 1018124-03-2, 1129294-89-8, 129940-97-2, 1428525-25-0, 14536-17-5, 154170-90-8, 1703051-92-6, 2252244-20-3, 259133-78-3, 2635329-14-3, 30208-61-8, 50976-75-5, 56172-55-5, 56533-05-2, 57304-74-2, 57606-40-3, 623158-95-2, 882690-91-7, 884381-69-5, 885512-24-3, 88845-26-5, 896436-13-8, 89924-69-6, 88845-26-5, 885512-24-3, 882690-91-7, 14536-17-5, 89924-69-6, 129940-97-2, 56172-55-5, 57304-74-2, 57606-40-3, 884381-69-5, 1428525-25-0, 50976-75-5, 259133-78-3, 56533-05-2, 30208-61-8, 1018124-03-2, 1703051-92-6, 154170-90-8",COMPOUND
IRON_METAL,IRON METAL,https://pubchem.ncbi.nlm.nih.gov/compound/23925,FEATURED,"7439-89-6, 33485-98-2, 12597-68-1, 14067-02-8, 8053-60-9","129048-51-7, 195161-83-2, 199281-22-6, 39344-71-3, 70884-35-4, 73135-38-3, 8011-79-8, 8053-60-9, 161135-39-3, 190454-13-8, 443783-52-6, 675141-17-0, 1867181-06-3, 2230894-10-5, 490018-39-8, 129048-51-7, 161135-39-3, 1867181-06-3, 190454-13-8, 195161-83-2, 199281-22-6, 2230894-10-5, 39344-71-3, 443783-52-6, 490018-39-8, 675141-17-0, 70884-35-4, 73135-38-3, 8011-79-8, 8053-60-9, 190454-13-8, 8011-79-8, 39344-71-3, 161135-39-3, 195161-83-2, 73135-38-3, 129048-51-7, 675141-17-0, 70884-35-4, 8053-60-9, 199281-22-6",COMPOUND
IRON_SUCCINYL-PROTEIN_COMPLEX,IRON SUCCINYL-PROTEIN COMPLEX,https://pubmed.ncbi.nlm.nih.gov/1681049,RELEVANT,N/A,,N/A
IRVINGIA_GABONENSIS,IRVINGIA GABONENSIS,https://pubchem.ncbi.nlm.nih.gov/substance/482030039,RELEVANT,N/A,,SUBSTANCE
ISATIS_TINCTORIA,ISATIS TINCTORIA,https://pubchem.ncbi.nlm.nih.gov/substance/482029218,RELEVANT,N/A,,SUBSTANCE
ISAVUCONAZOLE,ISAVUCONAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/6918485,FEATURED,241479-67-4,672948-06-0,COMPOUND
ISAVUCONAZONIUM,ISAVUCONAZONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/6918606,FEATURED,742049-41-8,,COMPOUND
ISOCARBOXAZID,ISOCARBOXAZID,https://pubchem.ncbi.nlm.nih.gov/compound/3759,FEATURED,59-63-2,,COMPOUND
ISOETARINE,ISOETARINE,https://pubchem.ncbi.nlm.nih.gov/compound/3762,FEATURED,"530-08-5, 79490-84-9",,COMPOUND
ISOFLURANE,ISOFLURANE,https://pubchem.ncbi.nlm.nih.gov/compound/3763,FEATURED,26675-46-7,,COMPOUND
ISOHEXADECANE,ISOHEXADECANE,https://pubchem.ncbi.nlm.nih.gov/compound/15267,FEATURED,"1560-93-6, 60908-77-2",,COMPOUND
ISOLEUCINE,ISOLEUCINE,https://pubchem.ncbi.nlm.nih.gov/compound/6306,FEATURED,"443-79-8, 73-32-5","7004-09-3, 410078-51-2, 501028-75-7, 807611-99-0, 959215-79-3, 1050482-26-2, 1131911-83-5, 1186126-44-2, 1431840-86-6, 2012595-46-7, 2110474-15-0, 2230755-14-1, 198412-80-5, 19883-67-1, 205879-85-2, 224311-99-3, 228416-77-1, 676371-21-4, 1160211-67-5, 1649424-38-3, 1798874-13-1, 1050482-26-2, 1131911-83-5, 1186126-44-2, 1431840-86-6, 2012595-46-7, 2110474-15-0, 2230755-14-1, 410078-51-2, 501028-75-7, 7004-09-3, 807611-99-0, 959215-79-3, 198412-80-5, 224311-99-3, 676371-21-4, 1798874-13-1, 1160211-67-5, 228416-77-1, 205879-85-2, 19883-67-1, 1649424-38-3, 501028-75-7, 959215-79-3, 807611-99-0, 1131911-83-5, 2012595-46-7, 7004-09-3, 1186126-44-2, 1431840-86-6, 410078-51-2, 1050482-26-2, 2110474-15-0",COMPOUND
ISOMETHEPTENE,ISOMETHEPTENE,https://pubchem.ncbi.nlm.nih.gov/compound/22297,FEATURED,503-01-5,65783-53-1,COMPOUND
ISONIAZID,ISONIAZID,https://pubchem.ncbi.nlm.nih.gov/compound/3767,FEATURED,54-85-3,"37271-10-6, 41466-07-3, 62229-51-0, 7640-37-1, 7640-37-1, 62229-51-0, 37271-10-6",COMPOUND
ISOPRENALINE,ISOPRENALINE,https://pubchem.ncbi.nlm.nih.gov/compound/3779,FEATURED,7683-59-2,"149-53-1, 46388-38-9, 46388-38-9",COMPOUND
ISOPROPYL_MYRISTATE,ISOPROPYL MYRISTATE,https://pubchem.ncbi.nlm.nih.gov/compound/8042,FEATURED,110-27-0,"1405-98-7, 852553-53-8",COMPOUND
ISOPROPYL_PALMITATE,ISOPROPYL PALMITATE,https://pubchem.ncbi.nlm.nih.gov/compound/8907,FEATURED,142-91-6,,COMPOUND
ISOSORBIDE,ISOSORBIDE,https://pubchem.ncbi.nlm.nih.gov/compound/12597,FEATURED,652-67-5,"151380-60-8, 152881-21-5, 42750-75-4, 49871-92-3, 50974-60-2, 7241-88-5, 2088100-88-1, 151380-60-8, 152881-21-5, 2088100-88-1, 42750-75-4, 49871-92-3, 50974-60-2, 7241-88-5, 50974-60-2, 42750-75-4, 49871-92-3, 152881-21-5, 7241-88-5, 151380-60-8",COMPOUND
