Original Molecule,Parsed Molecule,Best Match Link,CAS,Deprecated CAS
MESTRANOL,PRAVASTATIN,https://pubchem.ncbi.nlm.nih.gov/compound/54687,N/A,N/A
MESUXIMIDE,PRAZIQUANTEL,https://pubchem.ncbi.nlm.nih.gov/compound/4891,N/A,N/A
METADOXINE,PRAZOSIN,https://pubchem.ncbi.nlm.nih.gov/compound/4893,N/A,N/A
METARAMINOL,PREDNICARBATE,https://pubchem.ncbi.nlm.nih.gov/compound/5755,N/A,N/A
METAXALONE,PREDNISOLONE,https://pubchem.ncbi.nlm.nih.gov/compound/5755,N/A,N/A
METFORMIN,PREDNISONE,https://pubchem.ncbi.nlm.nih.gov/compound/5755,N/A,N/A
METHACHOLINE,PREGABALIN,https://pubchem.ncbi.nlm.nih.gov/compound/5486971,N/A,N/A
METHADONE,PREGNANCY TESTS,https://pubmed.ncbi.nlm.nih.gov/36050632,N/A,N/A
METHAMPHETAMINE,PREGNENOLONE,https://pubchem.ncbi.nlm.nih.gov/compound/8955,N/A,N/A
METHAPYRILENE,PREPARED STORAX,https://pubmed.ncbi.nlm.nih.gov/37956814,N/A,N/A
METHAZOLAMIDE,PRILOCAINE,https://pubchem.ncbi.nlm.nih.gov/compound/7242,N/A,N/A
METHENAMINE,PRIMAQUINE,https://pubchem.ncbi.nlm.nih.gov/compound/4908,N/A,N/A
METHIONINE,PRIMIDONE,https://pubchem.ncbi.nlm.nih.gov/compound/4909,N/A,N/A
METHOCARBAMOL,PRIMULA VERIS,https://pubchem.ncbi.nlm.nih.gov/substance/483932694,N/A,N/A
METHOHEXITAL,PROBENECID,https://pubchem.ncbi.nlm.nih.gov/compound/4911,N/A,N/A
METHOTREXATE,PROBIOTICS,https://pubchem.ncbi.nlm.nih.gov/substance/482028543,N/A,N/A
METHOXAMINE,PROCAINAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/4913,N/A,N/A
METHOXSALEN,PROCAINE,https://pubchem.ncbi.nlm.nih.gov/compound/999,N/A,N/A
METHOXY_POLYETHYLENE_GLYCOL-EPOETIN_BETA,PROCARBAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/4915,N/A,N/A
METHYCLOTHIAZIDE,PROCHLORPERAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/4917,N/A,N/A
METHYL-5-AMINOLEVULINIC_ACID,PROCYCLIDINE,N/A,N/A,N/A
METHYLANTHRANILATE,PROFLAVINE,https://pubchem.ncbi.nlm.nih.gov/compound/7099,N/A,N/A
METHYLBENZETHONIUM,PROGESTERONE,https://pubchem.ncbi.nlm.nih.gov/compound/5994,N/A,N/A
METHYLCELLULOSE,PROGUANIL,https://pubchem.ncbi.nlm.nih.gov/compound/7812,N/A,N/A
METHYLDOPA,PROLINE,https://pubchem.ncbi.nlm.nih.gov/compound/145742,N/A,N/A
METHYLDOPATE,PROMETHAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/7108,N/A,N/A
METHYLENE_BLUE,PROPAFENONE,https://pubchem.ncbi.nlm.nih.gov/compound/4932,N/A,N/A
METHYLERGOMETRINE,PROPANE,https://pubchem.ncbi.nlm.nih.gov/compound/1030,N/A,N/A
METHYLFOLATE,PROPANTHELINE,N/A,N/A,N/A
METHYLNALTREXONE_BROMIDE,PROPANTHELINE HYDROXIDE,https://pubmed.ncbi.nlm.nih.gov/6326064,N/A,N/A
METHYLPARABEN,PROPIONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/1032,N/A,N/A
METHYLPHENIDATE,PROPOFOL,https://pubchem.ncbi.nlm.nih.gov/compound/7465,N/A,N/A
METHYLPHENOBARBITAL,PROPOLIS,https://pubchem.ncbi.nlm.nih.gov/compound/702,N/A,N/A
METHYLPREDNISOLONE,PROPRANOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/4946,N/A,N/A
METHYLTESTOSTERONE,PROPYLENE GLYCOL,https://pubchem.ncbi.nlm.nih.gov/compound/1030,N/A,N/A
METHYLTHIONINIUM,PROPYLHEXEDRINE,https://pubchem.ncbi.nlm.nih.gov/compound/7558,N/A,N/A
METHYL_ETHER,PROPYLPARABEN,https://pubchem.ncbi.nlm.nih.gov/compound/7175,N/A,N/A
METHYSERGIDE,PROPYLTHIOURACIL,https://pubchem.ncbi.nlm.nih.gov/compound/2723790,N/A,N/A
METIPRANOLOL,PROTAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/174174,N/A,N/A
METIROSINE,PROTEASE,https://pubchem.ncbi.nlm.nih.gov/compound/5388962,N/A,N/A
METOCLOPRAMIDE,PROTEASE (PLANT ORIGIN),https://pubchem.ncbi.nlm.nih.gov/bioassay/1878348,N/A,N/A
METOLAZONE,PROTEINS,https://pubchem.ncbi.nlm.nih.gov/compound/95510,N/A,N/A
METOPROLOL,PROTEIN C,https://pubchem.ncbi.nlm.nih.gov/compound/19649,N/A,N/A
METRELEPTIN,PROTEIN S,https://pubchem.ncbi.nlm.nih.gov/compound/5143,N/A,N/A
METRONIDAZOLE,PROTEIN TESTS,https://pubchem.ncbi.nlm.nih.gov/compound/5780,N/A,N/A
METYRAPONE,PROTHROMBIN,https://pubchem.ncbi.nlm.nih.gov/compound/196366,N/A,N/A
MEXILETINE,PROTIRELIN,https://pubchem.ncbi.nlm.nih.gov/compound/638678,N/A,N/A
MEZLOCILLIN,PROTRIPTYLINE,https://pubchem.ncbi.nlm.nih.gov/compound/4976,N/A,N/A
MIBEFRADIL,PROXYMETACAINE,https://pubchem.ncbi.nlm.nih.gov/compound/517321,N/A,N/A
MICAFUNGIN,PRUCALOPRIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3052762,N/A,N/A
MICONAZOLE,PRUNUS AMYGDALUS (AMARA),https://pubchem.ncbi.nlm.nih.gov/substance/481179503,N/A,N/A
MICROFIBRILLAR_COLLAGEN_HEMOSTAT,PRUNUS AMYGDALUS (DULCIS),https://pubchem.ncbi.nlm.nih.gov/substance/481187047,N/A,N/A
MIDAZOLAM,PRUNUS DOMESTICA,https://pubchem.ncbi.nlm.nih.gov/substance/482023198,N/A,N/A
MIDODRINE,PRUNUS LAUROCERASUS,https://pubchem.ncbi.nlm.nih.gov/substance/482023051,N/A,N/A
MIDOSTAURIN,PSEUDOEPHEDRINE,https://pubchem.ncbi.nlm.nih.gov/compound/7028,N/A,N/A
MIFEPRISTONE,PSEUDOGNAPHALIUM OBTUSIFOLIUM,https://pubchem.ncbi.nlm.nih.gov/substance/483932324,N/A,N/A
MIGLITOL,PSIDIUM GUAJAVA,https://pubchem.ncbi.nlm.nih.gov/substance/482023271,N/A,N/A
MIGLUSTAT,PTYCHOPETALUM OLACOIDES,https://pubchem.ncbi.nlm.nih.gov/substance/482023397,N/A,N/A
MILK_SERUM_PROTEIN,PUERARIA,https://pubchem.ncbi.nlm.nih.gov/compound/5748205,N/A,N/A
MILNACIPRAN,PULSATILLA PRATENSIS,https://pubchem.ncbi.nlm.nih.gov/substance/483929241,N/A,N/A
MILRINONE,PUMICE,https://pubchem.ncbi.nlm.nih.gov/compound/7187,N/A,N/A
MILTEFOSINE,PUNICA GRANATUM,https://pubchem.ncbi.nlm.nih.gov/substance/483932684,N/A,N/A
MINERALS,PURGATIVE/LAXATIVE,https://pubmed.ncbi.nlm.nih.gov/32337785,N/A,N/A
MINOCYCLINE,PYGEUM AFRICANUM,https://pubchem.ncbi.nlm.nih.gov/substance/482022596,N/A,N/A
MINOXIDIL,PYRANTEL,https://pubchem.ncbi.nlm.nih.gov/compound/708857,N/A,N/A
MIPOMERSEN,PYRAZINAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/1046,N/A,N/A
MIRABEGRON,PYRETHRINS,https://pubchem.ncbi.nlm.nih.gov/compound/5281873,N/A,N/A
MIRTAZAPINE,PYRIDOSTIGMINE,https://pubchem.ncbi.nlm.nih.gov/compound/7550,N/A,N/A
MISC.ALLERGENS_(PATIENT_REQUIREMENT),PYRIDOXAL,https://pubchem.ncbi.nlm.nih.gov/compound/1050,N/A,N/A
MISCELLANEOUS_URINE_TESTS,PYRIDOXAL 5 PHOSPHATE,https://pubchem.ncbi.nlm.nih.gov/compound/1051,N/A,N/A
MISOPROSTOL,PYRIDOXINE,https://pubchem.ncbi.nlm.nih.gov/compound/1054,N/A,N/A
MITOMYCIN,PYRIMETHAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/4993,N/A,N/A
MITOTANE,PYRITHIONE ZINC,https://pubchem.ncbi.nlm.nih.gov/compound/26041,N/A,N/A
MITOXANTRONE,PYROXYLIN,https://pubchem.ncbi.nlm.nih.gov/compound/44263835,N/A,N/A
MIVACURIUM_CHLORIDE,PYRUVIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/1060,N/A,N/A
MODAFINIL,QUAZEPAM,https://pubchem.ncbi.nlm.nih.gov/compound/4999,N/A,N/A
MOEXIPRIL,QUERCETIN,https://pubchem.ncbi.nlm.nih.gov/compound/5280343,N/A,N/A
MOGAMULIZUMAB,QUERCUS ALBA,https://pubchem.ncbi.nlm.nih.gov/substance/483937018,N/A,N/A
MOLINDONE,QUERCUS ROBUR,https://pubchem.ncbi.nlm.nih.gov/substance/483936770,N/A,N/A
MOLYBDENUM,QUETIAPINE,https://pubchem.ncbi.nlm.nih.gov/compound/5002,N/A,N/A
MOMETASONE,QUINAPRIL,https://pubchem.ncbi.nlm.nih.gov/compound/54892,N/A,N/A
MONASCUS_PURPUREUS,QUINIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/441074,N/A,N/A
MONOBENZONE,QUININE,https://pubchem.ncbi.nlm.nih.gov/compound/3034034,N/A,N/A
MONOCHLOROACETIC_ACID,QUINUPRISTIN,https://pubchem.ncbi.nlm.nih.gov/compound/5388937,N/A,N/A
MONOETHANOLAMINE_OLEATE,RABEPRAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/5029,N/A,N/A
MONOFLUOROPHOSPHORIC_ACID,RACEPHEDRINE,https://pubchem.ncbi.nlm.nih.gov/compound/9294,N/A,N/A
MONTELUKAST,RACEPINEFRINE,https://pubchem.ncbi.nlm.nih.gov/compound/5816,N/A,N/A
MORACIZINE,RADIUM RA-223,https://pubchem.ncbi.nlm.nih.gov/compound/6335825,N/A,N/A
MORINDA_CITRIFOLIA,RALOXIFENE,https://pubchem.ncbi.nlm.nih.gov/compound/5035,N/A,N/A
MOROCTOCOG_ALFA,RALTEGRAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/54671008,N/A,N/A
MORPHINE,RAMELTEON,https://pubchem.ncbi.nlm.nih.gov/compound/208902,N/A,N/A
MORRHUIC_ACID,RAMIPRIL,https://pubchem.ncbi.nlm.nih.gov/compound/1140,N/A,N/A
MOUTH_WASHES/RINSES,RAMUCIRUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/469690935,N/A,N/A
MOXETUMOMAB_PASUDOTOX,RANIBIZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101819,N/A,N/A
MOXIFLOXACIN,RANITIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/3001055,N/A,N/A
MUCOR_RACEMOSUS,RANITIDINE BISMUTH CITRATE,https://pubchem.ncbi.nlm.nih.gov/compound/62984,N/A,N/A
MULTIPLE_URINE_TESTS,RANOLAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/3516,N/A,N/A
MULTIVITAMINS,RANUNCULUS BULBOSUS,https://pubchem.ncbi.nlm.nih.gov/substance/483934461,N/A,N/A
MULTIVITAMINS_AND_MINERALS,RAPACURONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5311398,N/A,N/A
MUPIROCIN,RAPHANUS SATIVUS,https://pubchem.ncbi.nlm.nih.gov/substance/482022958,N/A,N/A
MUROMONAB-CD3,RASAGILINE,https://pubchem.ncbi.nlm.nih.gov/compound/3052776,N/A,N/A
MYCOPHENOLATE_MOFETIL,RASBURICASE,https://pubchem.ncbi.nlm.nih.gov/substance/440790918,N/A,N/A
MYCOPHENOLIC_ACID,RAUWOLFIA SERPENTINA,https://pubchem.ncbi.nlm.nih.gov/compound/5770,N/A,N/A
MYOSOTIS_ARVENSIS,RAVULIZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/483928739,N/A,N/A
MYRCIARIA_DUBIA,REGADENOSON,https://pubchem.ncbi.nlm.nih.gov/compound/219024,N/A,N/A
MYRICA_CERIFERA,REGORAFENIB,https://pubchem.ncbi.nlm.nih.gov/compound/11167602,N/A,N/A
MYRISTICA_FRAGANS,REMIFENTANIL,https://pubchem.ncbi.nlm.nih.gov/compound/60815,N/A,N/A
N-ACETYL-L-TYROSIN,RENNIN,https://pubchem.ncbi.nlm.nih.gov/compound/115709,N/A,N/A
N-ACETYLGLUCOSAMINE,REPAGLINIDE,https://pubchem.ncbi.nlm.nih.gov/compound/65981,N/A,N/A
N-ACETYLTYROSINE,RESERPINE,https://pubchem.ncbi.nlm.nih.gov/compound/5770,N/A,N/A
N-LAUROYLSARCOSINE,RESLIZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101824,N/A,N/A
N6-FURFURYLADENINE,RESORCINOL,https://pubchem.ncbi.nlm.nih.gov/compound/5054,N/A,N/A
NABILONE,RESORCINOL ACETATE,https://pubchem.ncbi.nlm.nih.gov/compound/5055,N/A,N/A
NABUMETONE,RESVERATROL,https://pubchem.ncbi.nlm.nih.gov/compound/445154,N/A,N/A
NADIDE,RETAPAMULIN,N/A,N/A,N/A
NADOLOL,RETEPLASE,https://pubchem.ncbi.nlm.nih.gov/substance/440790921,N/A,N/A
NAFARELIN,RETIGABINE,N/A,N/A,N/A
NAFCILLIN,RETINOL,https://pubchem.ncbi.nlm.nih.gov/compound/445354,N/A,N/A
NAFTIFINE,REVEFENACIN,https://pubchem.ncbi.nlm.nih.gov/compound/11753673,N/A,N/A
NALBUPHINE,RHAMNUS CALIFORNICA,https://pubchem.ncbi.nlm.nih.gov/substance/482033496,N/A,N/A
NALDEMEDINE,RHAMNUS CATHARTICUS,https://pubmed.ncbi.nlm.nih.gov/21941897,N/A,N/A
NALIDIXIC_ACID,RHAMNUS PURSHIANA,https://pubchem.ncbi.nlm.nih.gov/compound/437987,N/A,N/A
NALMEFENE,RHEUM OFFICINALE,https://pubchem.ncbi.nlm.nih.gov/substance/482023213,N/A,N/A
NALOXEGOL,RHODIOLA ROSEA,https://pubchem.ncbi.nlm.nih.gov/compound/10393,N/A,N/A
NALOXONE,RIBAVIRIN,https://pubchem.ncbi.nlm.nih.gov/compound/3520,N/A,N/A
NALTREXONE,RIBES NIGRUM,https://pubchem.ncbi.nlm.nih.gov/substance/482022628,N/A,N/A
NANDROLONE,RIBOCICLIB,https://pubchem.ncbi.nlm.nih.gov/compound/44631912,N/A,N/A
NAPHAZOLINE,RIBOFLAVIN,https://pubchem.ncbi.nlm.nih.gov/compound/493570,N/A,N/A
NAPROXEN,RIBOSE,https://pubchem.ncbi.nlm.nih.gov/compound/854,N/A,N/A
NARATRIPTAN,RICINOLEIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/643684,N/A,N/A
NASAL_DECONGESTANTS,RICINUS COMMUNIS,https://pubchem.ncbi.nlm.nih.gov/substance/482022650,N/A,N/A
NASTURTIUM_OFFICINALE,RIFABUTIN,https://pubchem.ncbi.nlm.nih.gov/compound/135398743,N/A,N/A
NATALIZUMAB,RIFAMPICIN,https://pubchem.ncbi.nlm.nih.gov/compound/135398735,N/A,N/A
NATAMYCIN,RIFAPENTINE,https://pubchem.ncbi.nlm.nih.gov/compound/135403821,N/A,N/A
NATEGLINIDE,RIFAXIMIN,https://pubchem.ncbi.nlm.nih.gov/compound/6436173,N/A,N/A
NEBIVOLOL,RILONACEPT,https://pubchem.ncbi.nlm.nih.gov/substance/440790923,N/A,N/A
NECITUMUMAB,RILPIVIRINE,https://pubchem.ncbi.nlm.nih.gov/compound/6451164,N/A,N/A
NEDOCROMIL,RILUZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/5070,N/A,N/A
NEFAZODONE,RIMANTADINE,https://pubchem.ncbi.nlm.nih.gov/compound/5071,N/A,N/A
NELARABINE,RIMEXOLONE,https://pubchem.ncbi.nlm.nih.gov/compound/5311412,N/A,N/A
NELFINAVIR,RIOCIGUAT,https://pubchem.ncbi.nlm.nih.gov/compound/11304743,N/A,N/A
NEOMYCIN,RISEDRONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/5245,N/A,N/A
NEOSTIGMINE,RISPERIDONE,https://pubchem.ncbi.nlm.nih.gov/compound/5073,N/A,N/A
NEPAFENAC,RITODRINE,https://pubchem.ncbi.nlm.nih.gov/compound/3040551,N/A,N/A
NEPETA_CATARIA,RITONAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/392622,N/A,N/A
NERATINIB,RITUXIMAB,https://pubchem.ncbi.nlm.nih.gov/compound/24801581,N/A,N/A
NESIRITIDE,RIVAROXABAN,https://pubchem.ncbi.nlm.nih.gov/compound/9875401,N/A,N/A
NETARSUDIL,RIVASTIGMINE,https://pubchem.ncbi.nlm.nih.gov/compound/77991,N/A,N/A
NETUPITANT,RIZATRIPTAN,https://pubchem.ncbi.nlm.nih.gov/compound/5078,N/A,N/A
NEVIRAPINE,ROCURONIUM BROMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/441351,N/A,N/A
NICARDIPINE,ROFECOXIB,https://pubchem.ncbi.nlm.nih.gov/compound/5090,N/A,N/A
NICKEL,ROFLUMILAST,https://pubchem.ncbi.nlm.nih.gov/compound/449193,N/A,N/A
NICOTINAMIDE,ROLAPITANT,https://pubchem.ncbi.nlm.nih.gov/compound/10311306,N/A,N/A
NICOTINE,ROMIDEPSIN,https://pubchem.ncbi.nlm.nih.gov/compound/5352062,N/A,N/A
NICOTINIC_ACID,ROMIPLOSTIM,https://pubchem.ncbi.nlm.nih.gov/substance/440790928,N/A,N/A
NIFEDIPINE,ROPINIROLE,https://pubchem.ncbi.nlm.nih.gov/compound/5095,N/A,N/A
NILOTINIB,ROPIVACAINE,https://pubchem.ncbi.nlm.nih.gov/compound/175805,N/A,N/A
NILUTAMIDE,ROSANILINE,https://pubchem.ncbi.nlm.nih.gov/compound/11057,N/A,N/A
NIMODIPINE,ROSA CANINA,https://pubchem.ncbi.nlm.nih.gov/substance/483934525,N/A,N/A
NINTEDANIB,ROSE BENGAL,https://pubchem.ncbi.nlm.nih.gov/compound/25474,N/A,N/A
NIRAPARIB,ROSIGLITAZONE,https://pubchem.ncbi.nlm.nih.gov/compound/77999,N/A,N/A
NISOLDIPINE,ROSMARINUS OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/compound/65126,N/A,N/A
NITAZOXANIDE,ROSUVASTATIN,https://pubchem.ncbi.nlm.nih.gov/compound/446157,N/A,N/A
NITRIC_ACID,ROTIGOTINE,https://pubchem.ncbi.nlm.nih.gov/compound/59227,N/A,N/A
NITROFURAL,ROYAL JELLY,https://pubchem.ncbi.nlm.nih.gov/compound/702,N/A,N/A
NITROFURANTOIN,RUBUS FRUTICOSUS,https://pubchem.ncbi.nlm.nih.gov/substance/483932788,N/A,N/A
NITROGLYCERIN,RUBUS IDAEUS,https://pubchem.ncbi.nlm.nih.gov/substance/441077340,N/A,N/A
NITROPRUSSIDE,RUCAPARIB,https://pubchem.ncbi.nlm.nih.gov/compound/9931954,N/A,N/A
NITROUS_ACID,RUFINAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/129228,N/A,N/A
NITROUS_OXIDE,RUMEX ACETOSA,https://pubchem.ncbi.nlm.nih.gov/substance/482022876,N/A,N/A
NIVOLUMAB,RUMEX CRISPUS,https://pubchem.ncbi.nlm.nih.gov/substance/441077341,N/A,N/A
NIZATIDINE,RURIOCTOCOG ALFA PEGOL,https://pubchem.ncbi.nlm.nih.gov/compound/86278357,N/A,N/A
NON-ALLERGENIC_SOAPS,RUTA GRAVEOLENS,https://pubchem.ncbi.nlm.nih.gov/substance/483935559,N/A,N/A
NON-DISPOSABLE_MEDICAL_DEVICE,RUTOSIDE,https://pubchem.ncbi.nlm.nih.gov/compound/5280805,N/A,N/A
NONACOG_ALFA,RUXOLITINIB,https://pubchem.ncbi.nlm.nih.gov/compound/25126798,N/A,N/A
NONACOG_BETA_PEGOL,SACCHARIN,https://pubchem.ncbi.nlm.nih.gov/compound/5143,N/A,N/A
NONACOG_GAMMA,SACCHAROMYCES BOULARDII,https://pubchem.ncbi.nlm.nih.gov/substance/483928085,N/A,N/A
NONOXINOL_9,SACCHAROMYCES CEREVISIAE,https://pubchem.ncbi.nlm.nih.gov/compound/122121,N/A,N/A
NON_MEDICATED_EYE_DROPS,SACROSIDASE,https://pubchem.ncbi.nlm.nih.gov/substance/440791207,N/A,N/A
NON_MEDICATED_SHAMPOOS,SACUBITRIL,https://pubchem.ncbi.nlm.nih.gov/compound/1153,N/A,N/A
NON_PHARMACEUTICAL_INGREDIENT,SAFINAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/131682,N/A,N/A
NORACYMETHADOL,SALBUTAMOL,https://pubchem.ncbi.nlm.nih.gov/compound/2083,N/A,N/A
NORELGESTROMIN,SALCAPROZIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/158789,N/A,N/A
NOREPINEPHRINE,SALCATONIN,https://pubchem.ncbi.nlm.nih.gov/compound/16220016,N/A,N/A
NORETHISTERONE,SALICYLAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/5147,N/A,N/A
NORFLOXACIN,SALICYLANILIDE,https://pubchem.ncbi.nlm.nih.gov/compound/4477,N/A,N/A
NORFLURANE,SALICYLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/996,N/A,N/A
NORGESTERONE,SALIX ALBA,https://pubchem.ncbi.nlm.nih.gov/substance/483930683,N/A,N/A
NORGESTIMATE,SALIX MATSUDANA,https://pubchem.ncbi.nlm.nih.gov/substance/482023056,N/A,N/A
NORGESTREL,SALMETEROL,https://pubchem.ncbi.nlm.nih.gov/compound/5152,N/A,N/A
NORTRIPTYLINE,SALMON,https://pubchem.ncbi.nlm.nih.gov/compound/5355130,N/A,N/A
NOVANTISOLIC_ACID,SALSALATE,https://pubchem.ncbi.nlm.nih.gov/compound/5161,N/A,N/A
NOVOBIOCIN,SALVIA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/compound/13820510,N/A,N/A
NUSINERSEN,SALVIA SCLAREA,https://pubchem.ncbi.nlm.nih.gov/substance/441077983,N/A,N/A
NUTRITIONAL_SUPPLEMENTS,SAMARIUM (153SM) LEXIDRONAM,https://pubchem.ncbi.nlm.nih.gov/compound/9810246,N/A,N/A
NYSTATIN,SAMARIUM (153 SM) LEXIDRONAM,https://pubchem.ncbi.nlm.nih.gov/compound/9810246,N/A,N/A
O-PHTHALALDEHYDE,SAMBUCUS NIGRA,https://pubchem.ncbi.nlm.nih.gov/compound/131751786,N/A,N/A
OBETICHOLIC_ACID,SANGUINARIA CANADENSIS,https://pubchem.ncbi.nlm.nih.gov/substance/483924627,N/A,N/A
OBINUTUZUMAB,SAPROPTERIN,https://pubchem.ncbi.nlm.nih.gov/compound/135398654,N/A,N/A
OCCULT_BLOOD_TESTS,SAQUINAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/441243,N/A,N/A
OCIMUM_BASILICUM,SARECYCLINE,https://pubchem.ncbi.nlm.nih.gov/compound/54681908,N/A,N/A
OCRELIZUMAB,SARGRAMOSTIM,https://pubchem.ncbi.nlm.nih.gov/substance/440790931,N/A,N/A
OCRIPLASMIN,SARILUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101845,N/A,N/A
OCTACOSANOL,SARRACENIA PURPUREA,https://pubchem.ncbi.nlm.nih.gov/substance/482022090,N/A,N/A
OCTANOIC_ACID,SASSAFRAS OFFICINALE,https://pubchem.ncbi.nlm.nih.gov/substance/483930500,N/A,N/A
OCTINOXATE,SAXAGLIPTIN,https://pubchem.ncbi.nlm.nih.gov/compound/11243969,N/A,N/A
OCTOCOG_ALFA,SCARLET RED,https://pubchem.ncbi.nlm.nih.gov/compound/17466,N/A,N/A
OCTOCRILENE,SCHISANDRA CHINENSIS,https://pubchem.ncbi.nlm.nih.gov/compound/3001664,N/A,N/A
OCTOXINOL,SCHIZANDRA,https://pubchem.ncbi.nlm.nih.gov/substance/404771780,N/A,N/A
OCTOXYNOL,SCHIZOCHYTRIUM,https://pubchem.ncbi.nlm.nih.gov/substance/482021001,N/A,N/A
OCTREOTIDE,SCHIZONEPETA,https://pubchem.ncbi.nlm.nih.gov/substance/482026317,N/A,N/A
OCTYL_SALICYLATE,SCHOENOCAULON OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/482021542,N/A,N/A
OFATUMUMAB,SCOPOLAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3000322,N/A,N/A
OFLOXACIN,SCOPOLAMINE BUTYL HYDROXIDE,https://pubchem.ncbi.nlm.nih.gov/substance/318160459,N/A,N/A
OFTASCEINE,SCOPOLAMINE METHYL HYDROXIDE,N/A,N/A,N/A
OLANZAPINE,SCROPHULARIA NODOSA,https://pubchem.ncbi.nlm.nih.gov/substance/483926285,N/A,N/A
OLAPARIB,SCUTELLARIA,https://pubchem.ncbi.nlm.nih.gov/compound/156595888,N/A,N/A
OLARATUMAB,SEA SALT,https://pubchem.ncbi.nlm.nih.gov/compound/702,N/A,N/A
OLEA_EUROPEA,SEA WATER,https://pubchem.ncbi.nlm.nih.gov/compound/702,N/A,N/A
OLEIC_ACID,SEBELIPASE ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/481101847,N/A,N/A
OLEYL_ALCOHOL,SECBUTABARBITAL,https://pubchem.ncbi.nlm.nih.gov/compound/2479,N/A,N/A
OLIBANUM,SECNIDAZOLE,N/A,N/A,N/A
OLMESARTAN_MEDOXOMIL,SECOBARBITAL,https://pubchem.ncbi.nlm.nih.gov/compound/5193,N/A,N/A
OLODATEROL,SECRETIN,https://pubchem.ncbi.nlm.nih.gov/compound/16129665,N/A,N/A
OLOPATADINE,SECUKINUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/469690928,N/A,N/A
OLSALAZINE,SELEGILINE,https://pubchem.ncbi.nlm.nih.gov/compound/10297,N/A,N/A
OMACETAXINE_MEPESUCCINATE,SELENIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/1089,N/A,N/A
OMADACYCLINE,SELENIOUS ACID,https://pubchem.ncbi.nlm.nih.gov/compound/1091,N/A,N/A
OMALIZUMAB,SELENIUM,https://pubchem.ncbi.nlm.nih.gov/compound/1091,N/A,N/A
OMBITASVIR,SELENOMETHIONINE,https://pubchem.ncbi.nlm.nih.gov/compound/15103,N/A,N/A
OMEGA-3_ACID_ETHYL_ESTERS,SELENOMETHIONINE (75SE),https://pubchem.ncbi.nlm.nih.gov/compound/15103,N/A,N/A
OMEPRAZOLE,SELEXIPAG,https://pubchem.ncbi.nlm.nih.gov/compound/9913767,N/A,N/A
ONDANSETRON,SELINUM MONNIERI,https://pubchem.ncbi.nlm.nih.gov/substance/482036902,N/A,N/A
OPIUM,SEMAGLUTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/56843331,N/A,N/A
OPRELVEKIN,SENNA,https://pubchem.ncbi.nlm.nih.gov/compound/73111,N/A,N/A
OPUNTIA_FICUS-INDICA,SENNOSIDES A&B,https://pubchem.ncbi.nlm.nih.gov/compound/73111,N/A,N/A
ORCIPRENALINE,SEPIA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/compound/6325610,N/A,N/A
ORIGANUM_VULGARE,SERENOA REPENS,https://pubchem.ncbi.nlm.nih.gov/substance/482022325,N/A,N/A
ORITAVANCIN,SERINE,https://pubchem.ncbi.nlm.nih.gov/compound/5951,N/A,N/A
