Original Molecule,Parsed Molecule,Best Match Link,CAS,Deprecated CAS,Compound/Substance
METHOHEXITAL,METHOHEXITAL,https://pubchem.ncbi.nlm.nih.gov/compound/9034,151-83-7,"18652-93-2, 115621-33-5, 7187-72-6, 7187-72-6, 18652-93-2, 115621-33-5",compound
METHOTREXATE,METHOTREXATE,https://pubchem.ncbi.nlm.nih.gov/compound/126941,59-05-2,1082707-84-3,compound
METHOXAMINE,METHOXAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/6082,390-28-3,,compound
METHOXSALEN,METHOXSALEN,https://pubchem.ncbi.nlm.nih.gov/compound/4114,298-81-7,12692-94-3,compound
METHOXY_POLYETHYLENE_GLYCOL-EPOETIN_BETA,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,https://pubchem.ncbi.nlm.nih.gov/substance/481101753,,,substance
METHYCLOTHIAZIDE,METHYCLOTHIAZIDE,https://pubchem.ncbi.nlm.nih.gov/compound/4121,135-07-9,,compound
METHYL-5-AMINOLEVULINIC_ACID,METHYL-5 AMINOLEVULINIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/157922,33320-16-0,,compound
METHYLANTHRANILATE,METHYLANTHRANILATE,https://pubchem.ncbi.nlm.nih.gov/compound/8635,134-20-3,,compound
METHYLBENZETHONIUM,METHYLBENZETHONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5702238,25155-18-4,,compound
METHYLCELLULOSE,METHYLCELLULOSE,https://pubchem.ncbi.nlm.nih.gov/compound/702,64-17-5,"121182-78-3, 8000-16-6, 8024-45-1, 8024-45-1, 8000-16-6",compound
METHYLDOPA,METHYLDOPA,https://pubchem.ncbi.nlm.nih.gov/compound/38853,555-30-6,"133161-54-3, 1339-75-9, 4290-08-8, 88620-56-8, 779-08-8, 133161-54-3, 1339-75-9, 4290-08-8, 779-08-8, 88620-56-8, 133161-54-3, 4290-08-8, 1339-75-9, 779-08-8",compound
METHYLDOPATE,METHYLDOPATE,https://pubchem.ncbi.nlm.nih.gov/compound/38853,555-30-6,"133161-54-3, 1339-75-9, 4290-08-8, 88620-56-8, 779-08-8, 133161-54-3, 1339-75-9, 4290-08-8, 779-08-8, 88620-56-8, 133161-54-3, 4290-08-8, 1339-75-9, 779-08-8",compound
METHYLENE_BLUE,METHYLENE BLUE,https://pubchem.ncbi.nlm.nih.gov/compound/11057,548-62-9,"23355-47-7, 7077-31-8, 7077-31-8",compound
METHYLERGOMETRINE,METHYLERGOMETRINE,https://pubchem.ncbi.nlm.nih.gov/compound/8226,113-42-8,"479-03-8, 78207-86-0, 29477-86-9, 29589-73-9",compound
METHYLFOLATE,METHYLFOLATE,https://pubchem.ncbi.nlm.nih.gov/compound/135398561,31690-09-2,150950-03-1,compound
METHYLNALTREXONE_BROMIDE,METHYLNALTREXONE BROMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/5361917,73232-52-7,,compound
METHYLPARABEN,METHYLPARABEN,https://pubchem.ncbi.nlm.nih.gov/compound/7456,99-76-3,"1000398-37-7, 156291-94-0, 58339-84-7, 1000398-37-7, 58339-84-7",compound
METHYLPHENIDATE,METHYLPHENIDATE,https://pubchem.ncbi.nlm.nih.gov/compound/4158,113-45-1,,compound
METHYLPHENOBARBITAL,METHYLPHENOBARBITAL,https://pubchem.ncbi.nlm.nih.gov/compound/4763,50-06-6,"11097-06-6, 46755-67-3",compound
METHYLPREDNISOLONE,METHYLPREDNISOLONE,https://pubchem.ncbi.nlm.nih.gov/compound/5743,50-02-2,"137098-19-2, 8054-59-9, 906422-84-2, 1050677-47-8, 906362-70-7, 1050677-47-8, 137098-19-2, 8054-59-9, 906362-70-7, 906422-84-2, 8054-59-9, 137098-19-2, 1050677-47-8, 906422-84-2",compound
METHYLTESTOSTERONE,METHYLTESTOSTERONE,https://pubchem.ncbi.nlm.nih.gov/compound/6010,58-18-4,"1300-17-0, 31745-24-1, 1050679-28-1, 1050679-28-1, 1300-17-0, 31745-24-1",compound
METHYLTHIONINIUM,METHYLTHIONINIUM,https://pubchem.ncbi.nlm.nih.gov/compound/6099,61-73-4,"105504-42-5, 121067-62-7, 1341-90-8, 167498-52-4, 6476-03-5, 97130-83-1, 12262-49-6, 1001913-24-1, 1001914-35-7, 1219638-11-5, 923927-02-0, 1001913-24-1, 1001914-35-7, 105504-42-5, 121067-62-7, 1219638-11-5, 12262-49-6, 1341-90-8, 167498-52-4, 6476-03-5, 923927-02-0, 97130-83-1, 1001914-35-7, 105504-42-5, 1341-90-8, 97130-83-1, 923927-02-0, 167498-52-4, 1001913-24-1, 6476-03-5, 1219638-11-5, 12262-49-6, 152071-32-4",compound
METHYL_ETHER,METHYL ETHER,https://pubchem.ncbi.nlm.nih.gov/compound/8134,111-77-3,1552323-12-2,compound
METHYSERGIDE,METHYSERGIDE,https://pubchem.ncbi.nlm.nih.gov/compound/9681,361-37-5,"746-51-0, 2016-33-3, 156558-44-0, 29987-97-1, 47478-64-8",compound
METIPRANOLOL,METIPRANOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/31477,22664-55-7,38202-74-3,compound
METIROSINE,METIROSINE,https://pubchem.ncbi.nlm.nih.gov/compound/441350,672-87-7,"23239-48-7, 5380-13-2",compound
METOCLOPRAMIDE,METOCLOPRAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/4168,364-62-5,,compound
METOLAZONE,METOLAZONE,https://pubchem.ncbi.nlm.nih.gov/compound/4170,17560-51-9,,compound
METOPROLOL,METOPROLOL,https://pubchem.ncbi.nlm.nih.gov/compound/4171,51384-51-1,"54163-88-1, 37350-58-6, 54163-88-1",compound
METRELEPTIN,METRELEPTIN,https://pubchem.ncbi.nlm.nih.gov/substance/481101754,,,substance
METRONIDAZOLE,METRONIDAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/4173,443-48-1,,compound
METYRAPONE,METYRAPONE,https://pubchem.ncbi.nlm.nih.gov/compound/4174,54-36-4,37245-80-0,compound
MEXILETINE,MEXILETINE,https://pubchem.ncbi.nlm.nih.gov/compound/11335,576-26-1,"28449-96-9, 50356-22-4, 1363408-62-1, 1363408-62-1, 28449-96-9, 50356-22-4, 50356-22-4, 1363408-62-1",compound
MEZLOCILLIN,MEZLOCILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/656511,51481-65-3,,compound
MIBEFRADIL,MIBEFRADIL,https://pubchem.ncbi.nlm.nih.gov/compound/60663,116644-53-2,,compound
MICAFUNGIN,MICAFUNGIN,https://pubchem.ncbi.nlm.nih.gov/compound/477468,235114-32-6,,compound
MICONAZOLE,MICONAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/4189,22916-47-8,75319-47-0,compound
MICROFIBRILLAR_COLLAGEN_HEMOSTAT,MICROFIBRILLAR COLLAGEN HEMOSTAT,https://pubmed.ncbi.nlm.nih.gov/33160636,,,MISSING
MIDAZOLAM,MIDAZOLAM,https://pubchem.ncbi.nlm.nih.gov/compound/4192,59467-70-8,,compound
MIDODRINE,MIDODRINE,https://pubchem.ncbi.nlm.nih.gov/compound/4195,42794-76-3,97476-58-9,compound
MIDOSTAURIN,MIDOSTAURIN,https://pubchem.ncbi.nlm.nih.gov/compound/9829523,120685-11-2,,compound
MIFEPRISTONE,MIFEPRISTONE,https://pubchem.ncbi.nlm.nih.gov/compound/55245,84371-65-3,"122742-25-0, 83203-42-3",compound
MIGLITOL,MIGLITOL,https://pubchem.ncbi.nlm.nih.gov/compound/441314,72432-03-2,,compound
MIGLUSTAT,MIGLUSTAT,https://pubchem.ncbi.nlm.nih.gov/compound/51634,72599-27-0,134282-77-2,compound
MILK_SERUM_PROTEIN,MILK SERUM PROTEIN,https://pubchem.ncbi.nlm.nih.gov/compound/702,64-17-5,"121182-78-3, 8000-16-6, 8024-45-1, 8024-45-1, 8000-16-6",compound
MILNACIPRAN,MILNACIPRAN,https://pubchem.ncbi.nlm.nih.gov/compound/65833,96847-55-1,105310-09-6,compound
MILRINONE,MILRINONE,https://pubchem.ncbi.nlm.nih.gov/compound/4197,78415-72-2,,compound
MILTEFOSINE,MILTEFOSINE,https://pubchem.ncbi.nlm.nih.gov/compound/3599,58066-85-6,93597-88-7,compound
MINERALS,MINERALS,https://pubchem.ncbi.nlm.nih.gov/compound/702,,"121182-78-3, 8000-16-6, 8024-45-1, 8024-45-1, 8000-16-6",compound
MINOCYCLINE,MINOCYCLINE,https://pubchem.ncbi.nlm.nih.gov/compound/54675783,10118-90-8,"146440-73-5, 17175-40-5, 24058-90-0, 1071761-03-9, 17175-40-5",compound
MINOXIDIL,MINOXIDIL,https://pubchem.ncbi.nlm.nih.gov/compound/4201,38304-91-5,16317-69-4,compound
MIPOMERSEN,MIPOMERSEN,https://pubchem.ncbi.nlm.nih.gov/compound/44564107,629167-92-6,,compound
MIRABEGRON,MIRABEGRON,https://pubchem.ncbi.nlm.nih.gov/compound/9865528,223673-61-8,928324-05-4,compound
MIRTAZAPINE,MIRTAZAPINE,https://pubchem.ncbi.nlm.nih.gov/compound/4205,85650-52-8,"61337-67-5, 82601-27-2",compound
MISC.ALLERGENS_(PATIENT_REQUIREMENT),MISC.ALLERGENS (PATIENT REQUIREMENT),,,,MISSING
MISCELLANEOUS_URINE_TESTS,MISCELLANEOUS URINE TESTS,https://pubmed.ncbi.nlm.nih.gov/23207819,,,MISSING
MISOPROSTOL,MISOPROSTOL,https://pubchem.ncbi.nlm.nih.gov/compound/5282381,59122-46-2,"62015-39-8, 92999-98-9, 138284-96-5, 143913-16-0",compound
MITOMYCIN,MITOMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/5746,50-07-7,"144085-53-0, 7481-68-7, 74349-48-7, 144085-53-0, 74349-48-7, 7481-68-7, 74349-48-7, 7481-68-7, 144085-53-0",compound
MITOTANE,MITOTANE,https://pubchem.ncbi.nlm.nih.gov/compound/4211,53-19-0,,compound
MITOXANTRONE,MITOXANTRONE,https://pubchem.ncbi.nlm.nih.gov/compound/4212,65271-80-9,"137635-96-2, 70945-62-9",compound
MIVACURIUM_CHLORIDE,MIVACURIUM CHLORIDE,https://pubchem.ncbi.nlm.nih.gov/compound/5281042,133814-19-4,,compound
MODAFINIL,MODAFINIL,https://pubchem.ncbi.nlm.nih.gov/compound/4236,68693-11-8,112111-49-6,compound
MOEXIPRIL,MOEXIPRIL,https://pubchem.ncbi.nlm.nih.gov/compound/91270,103775-10-6,,compound
MOGAMULIZUMAB,MOGAMULIZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/483928311,,,substance
MOLINDONE,MOLINDONE,https://pubchem.ncbi.nlm.nih.gov/compound/23897,7416-34-4,65973-37-7,compound
MOLYBDENUM,MOLYBDENUM,https://pubchem.ncbi.nlm.nih.gov/compound/23925,7439-89-6,"129048-51-7, 195161-83-2, 199281-22-6, 39344-71-3, 70884-35-4, 73135-38-3, 8011-79-8, 8053-60-9, 161135-39-3, 190454-13-8, 443783-52-6, 675141-17-0, 1867181-06-3, 2230894-10-5, 490018-39-8, 129048-51-7, 161135-39-3, 1867181-06-3, 190454-13-8, 195161-83-2, 199281-22-6, 2230894-10-5, 39344-71-3, 443783-52-6, 490018-39-8, 675141-17-0, 70884-35-4, 73135-38-3, 8011-79-8, 8053-60-9, 190454-13-8, 8011-79-8, 39344-71-3, 161135-39-3, 195161-83-2, 73135-38-3, 129048-51-7, 675141-17-0, 70884-35-4, 8053-60-9, 199281-22-6",compound
MOMETASONE,MOMETASONE,https://pubchem.ncbi.nlm.nih.gov/compound/441336,83919-23-7,,compound
MONASCUS_PURPUREUS,MONASCUS PURPUREUS,https://pubchem.ncbi.nlm.nih.gov/substance/482027225,,,substance
MONOBENZONE,MONOBENZONE,https://pubchem.ncbi.nlm.nih.gov/compound/7638,103-16-2,,compound
MONOCHLOROACETIC_ACID,MONOCHLOROACETIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/300,79-11-8,,compound
MONOETHANOLAMINE_OLEATE,MONOETHANOLAMINE OLEATE,https://pubchem.ncbi.nlm.nih.gov/compound/5282489,2272-11-9,"14481-63-1, 663174-48-9, 663174-48-9",compound
MONOFLUOROPHOSPHORIC_ACID,MONOFLUOROPHOSPHORIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/24267,13537-32-1,,compound
MONTELUKAST,MONTELUKAST,https://pubchem.ncbi.nlm.nih.gov/compound/5281040,158966-92-8,,compound
MORACIZINE,MORACIZINE,https://pubchem.ncbi.nlm.nih.gov/compound/34633,31883-05-3,,compound
MORINDA_CITRIFOLIA,MORINDA CITRIFOLIA,https://pubchem.ncbi.nlm.nih.gov/substance/482026552,,,substance
MOROCTOCOG_ALFA,MOROCTOCOG ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/483925953,,,substance
MORPHINE,MORPHINE,https://pubchem.ncbi.nlm.nih.gov/compound/5288826,57-27-2,"8053-16-5, 85201-37-2, 47106-99-0, 863713-90-0, 1325730-46-8",compound
MORRHUIC_ACID,MORRHUIC ACID,https://pubchem.ncbi.nlm.nih.gov/substance/375085286,,,substance
MOUTH_WASHES/RINSES,MOUTH WASHES/RINSES,,,,MISSING
MOXETUMOMAB_PASUDOTOX,MOXETUMOMAB PASUDOTOX,https://pubchem.ncbi.nlm.nih.gov/substance/481101756,,,substance
MOXIFLOXACIN,MOXIFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/152946,151096-09-2,195154-07-5,compound
MUCOR_RACEMOSUS,MUCOR RACEMOSUS,https://pubchem.ncbi.nlm.nih.gov/substance/483933261,,,substance
MULTIPLE_URINE_TESTS,MULTIPLE URINE TESTS,https://pubchem.ncbi.nlm.nih.gov/bioassay/495582,,,MISSING
MULTIVITAMINS,MULTIVITAMINS,https://pubchem.ncbi.nlm.nih.gov/substance/135316826,,,substance
MULTIVITAMINS_AND_MINERALS,MULTIVITAMINS AND MINERALS,https://pubchem.ncbi.nlm.nih.gov/substance/135316826,,,substance
MUPIROCIN,MUPIROCIN,https://pubchem.ncbi.nlm.nih.gov/compound/446596,12650-69-0,62916-63-6,compound
MUROMONAB-CD3,MUROMONAB-CD3,https://pubchem.ncbi.nlm.nih.gov/substance/482028417,,,substance
MYCOPHENOLATE_MOFETIL,MYCOPHENOLATE MOFETIL,https://pubchem.ncbi.nlm.nih.gov/compound/446541,24280-93-1,,compound
MYCOPHENOLIC_ACID,MYCOPHENOLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/446541,24280-93-1,,compound
MYOSOTIS_ARVENSIS,MYOSOTIS ARVENSIS,https://pubchem.ncbi.nlm.nih.gov/substance/482027384,,,substance
MYRCIARIA_DUBIA,MYRCIARIA DUBIA,https://pubchem.ncbi.nlm.nih.gov/substance/482027071,,,substance
MYRICA_CERIFERA,MYRICA CERIFERA,https://pubchem.ncbi.nlm.nih.gov/compound/5281672,529-44-2,,compound
MYRISTICA_FRAGANS,MYRISTICA FRAGANS,https://pubmed.ncbi.nlm.nih.gov/38257384,,,MISSING
N-ACETYL-L-TYROSIN,N-ACETYL-L-TYROSIN,https://pubchem.ncbi.nlm.nih.gov/substance/103839966,,,substance
N-ACETYLGLUCOSAMINE,N-ACETYLGLUCOSAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/145068,10102-43-9,"51005-20-0, 51005-21-1, 53851-19-7, 90452-29-2, 90452-29-2, 51005-20-0, 51005-21-1",compound
N-ACETYLTYROSINE,N-ACETYLTYROSINE,https://pubchem.ncbi.nlm.nih.gov/compound/6057,60-18-4,"140-43-2, 1991-85-1, 46209-14-7, 55520-40-6, 1207451-88-4, 2416148-26-8, 1207451-88-4, 140-43-2, 1991-85-1, 2416148-26-8, 46209-14-7, 55520-40-6, 55520-40-6, 1207451-88-4, 140-43-2, 46209-14-7",compound
N-LAUROYLSARCOSINE,N-LAUROYLSARCOSINE,https://pubchem.ncbi.nlm.nih.gov/compound/7348,97-78-9,"15535-18-9, 58392-41-9, 15535-18-9",compound
N6-FURFURYLADENINE,N6 FURFURYLADENINE,https://pubchem.ncbi.nlm.nih.gov/compound/3830,525-79-1,"33446-70-7, 525-80-4, 525-80-4",compound
NABILONE,NABILONE,https://pubchem.ncbi.nlm.nih.gov/compound/5284592,51022-71-0,,compound
NABUMETONE,NABUMETONE,https://pubchem.ncbi.nlm.nih.gov/compound/4409,42924-53-8,,compound
NADIDE,NADIDE,https://pubchem.ncbi.nlm.nih.gov/compound/5892,53-84-9,"159929-29-0, 30429-30-2, 1083039-67-1, 1354693-98-3, 1083039-67-1, 1354693-98-3, 159929-29-0, 30429-30-2, 1354693-98-3, 30429-30-2, 159929-29-0",compound
NADOLOL,NADOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/39147,220045-89-6,,compound
NAFARELIN,NAFARELIN,https://pubchem.ncbi.nlm.nih.gov/compound/25077405,76932-56-4,,compound
NAFCILLIN,NAFCILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/8982,147-52-4,,compound
NAFTIFINE,NAFTIFINE,https://pubchem.ncbi.nlm.nih.gov/compound/47641,65472-88-0,,compound
NALBUPHINE,NALBUPHINE,https://pubchem.ncbi.nlm.nih.gov/compound/5311304,20594-83-6,,compound
NALDEMEDINE,NALDEMEDINE,https://pubchem.ncbi.nlm.nih.gov/compound/54732242,916072-89-4,,compound
NALIDIXIC_ACID,NALIDIXIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/4421,389-08-2,,compound
NALMEFENE,NALMEFENE,https://pubchem.ncbi.nlm.nih.gov/compound/5284594,55096-26-9,,compound
NALOXEGOL,NALOXEGOL,https://pubchem.ncbi.nlm.nih.gov/compound/56959087,854601-70-0,,compound
NALOXONE,NALOXONE,https://pubchem.ncbi.nlm.nih.gov/compound/5284596,465-65-6,,compound
NALTREXONE,NALTREXONE,https://pubchem.ncbi.nlm.nih.gov/compound/5360515,16590-41-3,,compound
NANDROLONE,NANDROLONE,https://pubchem.ncbi.nlm.nih.gov/compound/9904,434-22-0,"30598-74-4, 409336-73-8",compound
NAPHAZOLINE,NAPHAZOLINE,https://pubchem.ncbi.nlm.nih.gov/compound/6862,86-87-3,"61913-11-9, 69072-67-9, 267410-73-1, 267410-73-1, 61913-11-9, 69072-67-9, 267410-73-1, 61913-11-9",compound
NAPROXEN,NAPROXEN,https://pubchem.ncbi.nlm.nih.gov/compound/156391,22204-53-1,,compound
NARATRIPTAN,NARATRIPTAN,https://pubchem.ncbi.nlm.nih.gov/compound/4440,121679-13-8,,compound
NASAL_DECONGESTANTS,NASAL DECONGESTANTS,https://pubchem.ncbi.nlm.nih.gov/compound/5743,50-02-2,"137098-19-2, 8054-59-9, 906422-84-2, 1050677-47-8, 906362-70-7, 1050677-47-8, 137098-19-2, 8054-59-9, 906362-70-7, 906422-84-2, 8054-59-9, 137098-19-2, 1050677-47-8, 906422-84-2",compound
NASTURTIUM_OFFICINALE,NASTURTIUM OFFICINALE,https://pubchem.ncbi.nlm.nih.gov/substance/482026230,,,substance
NATALIZUMAB,NATALIZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/472677714,,,substance
NATAMYCIN,NATAMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/5284447,7681-93-8,,compound
NATEGLINIDE,NATEGLINIDE,https://pubchem.ncbi.nlm.nih.gov/compound/6140,63-91-2,"10549-09-4, 3617-44-5, 5297-02-9, 67675-33-6, 801204-11-5, 2416148-28-0, 10549-09-4, 2416148-28-0, 3617-44-5, 5297-02-9, 67675-33-6, 801204-11-5, 10549-09-4, 5297-02-9, 801204-11-5, 3617-44-5",compound
NEBIVOLOL,NEBIVOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/71301,99200-09-6,104365-59-5,compound
NECITUMUMAB,NECITUMUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101761,,,substance
NEDOCROMIL,NEDOCROMIL,https://pubchem.ncbi.nlm.nih.gov/compound/50294,69049-73-6,,compound
NEFAZODONE,NEFAZODONE,https://pubchem.ncbi.nlm.nih.gov/compound/4449,83366-66-9,,compound
NELARABINE,NELARABINE,https://pubchem.ncbi.nlm.nih.gov/compound/3011155,121032-29-9,,compound
NELFINAVIR,NELFINAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/64142,159989-65-8,,compound
NEOMYCIN,NEOMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/8378,119-04-0,"11025-81-3, 1393-86-8, 11013-50-6",compound
NEOSTIGMINE,NEOSTIGMINE,https://pubchem.ncbi.nlm.nih.gov/compound/4456,59-99-4,,compound
NEPAFENAC,NEPAFENAC,https://pubchem.ncbi.nlm.nih.gov/compound/151075,78281-72-8,,compound
NEPETA_CATARIA,NEPETA CATARIA,https://pubchem.ncbi.nlm.nih.gov/substance/482026910,,,substance
NERATINIB,NERATINIB,https://pubchem.ncbi.nlm.nih.gov/compound/9915743,698387-09-6,736156-77-7,compound
NESIRITIDE,NESIRITIDE,https://pubchem.ncbi.nlm.nih.gov/compound/71308561,124584-08-3,,compound
NETARSUDIL,NETARSUDIL,https://pubchem.ncbi.nlm.nih.gov/compound/66599893,1254032-66-0,1628418-15-4,compound
NETUPITANT,NETUPITANT,https://pubchem.ncbi.nlm.nih.gov/compound/6451149,290297-26-6,,compound
NEVIRAPINE,NEVIRAPINE,https://pubchem.ncbi.nlm.nih.gov/compound/4463,129618-40-2,,compound
NICARDIPINE,NICARDIPINE,https://pubchem.ncbi.nlm.nih.gov/compound/4474,55985-32-5,,compound
NICKEL,NICKEL,https://pubchem.ncbi.nlm.nih.gov/compound/10112,471-34-1,"114453-69-9, 137803-94-2, 146358-95-4, 166516-01-4, 172307-27-6, 180616-31-3, 39454-55-2, 60083-79-6, 63660-97-9, 71060-88-3, 72608-12-9, 251358-28-8, 198352-33-9, 459411-10-0, 878759-26-3, 197809-38-4, 1312764-88-7, 1352815-51-0, 1437084-75-7, 148092-93-7, 1641572-50-0, 2222732-78-5, 1118543-25-1, 1883798-64-8, 1994316-62-9, 2390374-02-2, 2470702-35-1, 1118543-25-1, 114453-69-9, 1312764-88-7, 1352815-51-0, 137803-94-2, 1437084-75-7, 146358-95-4, 148092-93-7, 1641572-50-0, 166516-01-4, 172307-27-6, 180616-31-3, 1883798-64-8, 197809-38-4, 198352-33-9, 1994316-62-9, 2222732-78-5, 2390374-02-2, 2470702-35-1, 251358-28-8, 2962051-70-1, 3018125-28-2, 39454-55-2, 459411-10-0, 60083-79-6, 63660-97-9, 71060-88-3, 72608-12-9, 878759-26-3, 2358712-58-8, 2358714-65-3, 359415-48-8, 180616-31-3, 39454-55-2, 72608-12-9, 63660-97-9, 197809-38-4, 146358-95-4, 1437084-75-7, 114453-69-9, 878759-26-3, 1352815-51-0, 172307-27-6, 251358-28-8, 137803-94-2, 148092-93-7, 60083-79-6, 166516-01-4, 459411-10-0, 198352-33-9, 71060-88-3, 15187-75-4, 1317-65-3; 13397-26-7; 287389-46-2",compound
NICOTINAMIDE,NICOTINAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/936,98-92-0,"123574-63-0, 37321-14-5, 78731-47-2, 123574-63-0, 78731-47-2",compound
NICOTINE,NICOTINE,https://pubchem.ncbi.nlm.nih.gov/compound/89594,54-11-5; 22083-74-5,"13890-81-8, 13890-82-9, 16760-37-5, 551-13-3, 6912-85-2, 551-13-3, 16760-37-5, 13890-82-9, 6912-85-2",compound
NICOTINIC_ACID,NICOTINIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/938,59-67-6,"123574-58-3, 1580002-26-1",compound
NIFEDIPINE,NIFEDIPINE,https://pubchem.ncbi.nlm.nih.gov/compound/4485,21829-25-4,"101539-70-2, 101554-38-5, 11104-22-6, 101554-38-5",compound
NILOTINIB,NILOTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/644241,641571-10-0,,compound
NILUTAMIDE,NILUTAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/4493,63612-50-0,,compound
NIMODIPINE,NIMODIPINE,https://pubchem.ncbi.nlm.nih.gov/compound/4497,66085-59-4,,compound
NINTEDANIB,NINTEDANIB,https://pubchem.ncbi.nlm.nih.gov/compound/135423438,656247-17-5,928326-83-4,compound
NIRAPARIB,NIRAPARIB,https://pubchem.ncbi.nlm.nih.gov/compound/24958200,1038915-60-4,,compound
NISOLDIPINE,NISOLDIPINE,https://pubchem.ncbi.nlm.nih.gov/compound/4499,63675-72-9,,compound
NITAZOXANIDE,NITAZOXANIDE,https://pubchem.ncbi.nlm.nih.gov/compound/41684,55981-09-4,,compound
NITRIC_ACID,NITRIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/944,7697-37-2,"218625-70-8, 78989-43-2, 802862-59-5, 1053657-18-3, 1173016-70-0, 1316336-39-6, 1431325-80-2, 2108694-78-4, 807260-90-8, 2195414-73-2, 1053657-18-3, 1173016-70-0, 1316336-39-6, 1431325-80-2, 2108694-78-4, 218625-70-8, 2195414-73-2, 2732749-95-8, 78989-43-2, 802862-59-5, 807260-90-8, 78989-43-2, 218625-70-8, 1053657-18-3",compound
NITROFURAL,NITROFURAL,https://pubchem.ncbi.nlm.nih.gov/compound/5447130,59-87-0,"60051-85-6, 8027-71-2",compound
NITROFURANTOIN,NITROFURANTOIN,https://pubchem.ncbi.nlm.nih.gov/compound/6604200,67-20-9,,compound
NITROGLYCERIN,NITROGLYCERIN,https://pubchem.ncbi.nlm.nih.gov/compound/4510,55-63-0,"105469-31-6, 80066-48-4, 8013-23-8, 9010-02-0, 100292-13-5, 100292-13-5, 105469-31-6, 80066-48-4, 8013-23-8, 9010-02-0, 9010-02-0, 105469-31-6, 8013-23-8, 100292-13-5",compound
NITROPRUSSIDE,NITROPRUSSIDE,https://pubchem.ncbi.nlm.nih.gov/compound/11953895,13755-38-9,,compound
NITROUS_ACID,NITROUS ACID,,,,MISSING
NITROUS_OXIDE,NITROUS OXIDE,https://pubchem.ncbi.nlm.nih.gov/compound/948,10024-97-2,"126386-65-0, 129451-49-6, 130835-71-1, 147527-07-9, 175876-44-5, 794457-85-5, 847968-13-2, 850203-00-8, 1818889-29-0, 126386-65-0, 129451-49-6, 130835-71-1, 147527-07-9, 175876-44-5, 1818889-29-0, 2227102-37-4, 794457-85-5, 847968-13-2, 850203-00-8, 850203-00-8, 130835-71-1, 147527-07-9, 794457-85-5, 175876-44-5, 847968-13-2, 126386-65-0, 129451-49-6",compound
NIVOLUMAB,NIVOLUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/469753496,,,substance
NIZATIDINE,NIZATIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/3033637,76963-41-2,,compound
NON-ALLERGENIC_SOAPS,NON-ALLERGENIC SOAPS,,,,MISSING
NON-DISPOSABLE_MEDICAL_DEVICE,NON-DISPOSABLE MEDICAL DEVICE,https://pubmed.ncbi.nlm.nih.gov/26141039,,,MISSING
NONACOG_ALFA,NONACOG ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/472386262,,,substance
NONACOG_BETA_PEGOL,NONACOG BETA PEGOL,https://pubchem.ncbi.nlm.nih.gov/substance/472422748,1175512-71-6,,substance
NONACOG_GAMMA,NONACOG GAMMA,https://pubchem.ncbi.nlm.nih.gov/substance/472386262,,,substance
