CAS,URL,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases,
1582205-90-0,https://drugs.ncats.io/drug/I5I8VB78VT,US Approved Rx 2018,BLA761077,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761077,US Approved Rx 2018,BLA761077,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761077,,,
50-14-6,https://drugs.ncats.io/drug/VS041H42XC,US Approved Rx 1941,NDA003444,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=003444,US Approved Rx 1941,NDA003444,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=003444,Hypoparathyroidism; Familial hypophosphatemia; Refractory rickets,Approved; Approved; Approved,
60-79-7,https://drugs.ncats.io/drug/WH41D8433D,US Previously Marketed 1959,TACE 25 MG ERGONOVINE by MERRELL,https://www.govinfo.gov/content/pkg/FR-1998-12-17/pdf/98-33453.pdf,US Previously Marketed 1959,TACE 25 MG ERGONOVINE by MERRELL,https://www.govinfo.gov/content/pkg/FR-1998-12-17/pdf/98-33453.pdf,Postpartum haemorrhage; Postabortion haemorrhage,Approved; Approved,
113-15-5,https://drugs.ncats.io/drug/PR834Q503T,US Approved Rx 1983,ANDA086557,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=086557,US Previously Marketed 1948,CAFERGOT by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006620,Migraine; Migraine; Migraine,Approved; Approved; Approved,
253128-41-5,https://drugs.ncats.io/drug/LR24G6354G,US Approved Rx 2010,NDA201532,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201532,US Approved Rx 2010,NDA201532,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201532,Breast Cancer,Approved,
183321-74-6,https://drugs.ncats.io/drug/J4T82NDH7E,US Approved Rx 2014,ANDA091002,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091002,US Previously Marketed 2004,TARCEVA by OSI PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021743,"Locally advanced or metastatic non-small cell lung cancer; Locally advanced, unresectable or metastatic pancreatic cancer",Approved; Approved,
153832-46-3,https://drugs.ncats.io/drug/G32F6EID2H,US Approved Rx 2018,ANDA208790,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208790,US Approved Rx 2001,NDA021337,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021337,"Complicated intra-abdominal infections; Complicated skin and skin structure infections; Community acquired pneumonia; Complicated urinary tract infections including pyelonephritis; Acute pelvic infections including postpartum endomyometritis, septic abortion and post surgical gynecologic infections",Approved; Approved; Approved; Approved; Approved,
1210344-57-2,https://drugs.ncats.io/drug/6C282481IP,US Approved Rx 2017,NDA209806,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209806,US Approved Rx 2017,NDA209806,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209806,Type 2 diabetes mellitus; type 2 diabetes mellitus,Phase III; Approved,
114-07-8,https://drugs.ncats.io/drug/63937KV33D,US Approved Rx 2020,ANDA212015,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212015,US Previously Marketed 1952,Ilotycin by Lilly,DeHaen 1940-1975 NMEs,Acne; Pneumonia; Bacterial endocarditis; Staphylococcal dermatitis; Listeriosis; Diphtheria; Respiratory tract infections; Skin and skin structure infections; Erythrasma; Diphtheria; Skin and skin structure infections; Respiratory tract infections; Listeriosis; Erythrasma,Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved,
128196-01-0,https://drugs.ncats.io/drug/4O4S742ANY,US Approved Rx 2002,NDA021323,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021323,US Approved Rx 2002,NDA021323,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021323,Generalized anxiety disorder; Major depressive disorder,Approved; Approved,
33643-46-8,https://drugs.ncats.io/drug/50LFG02TXD,US Approved Rx 2019,NDA211243,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211243,Possibly Marketed Outside US 1970,NDA211243,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d81a6a79-a74a-44b7-822c-0dfa3036eaed,,,
236395-14-5,https://drugs.ncats.io/drug/BEA68ZVB2K,US Approved Rx 2023,ANDA211236,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211236,US Approved Rx 2013,NDA022416,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022416,Partial-onset seizures,Approved,
81147-92-4,https://drugs.ncats.io/drug/MDY902UXSR,US Approved Rx 2022,ANDA214172,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=214172,US Approved Rx 1986,NDA019386,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019386,Supraventricular tachycardia; Noncompensatory sinus tachycardia,Approved; Approved,
119141-88-7,https://drugs.ncats.io/drug/N3PA6559FT,US Approved Rx 2020,ANDA212866,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212866,Possibly Marketed Outside US 1989,ANDA078003,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1f0ba9c8-e5f2-4d65-a0e3-19a6541a03b5,Heartburn,Approved,
29975-16-4,https://drugs.ncats.io/drug/36S3EQV54C,US Approved Rx 1997,ANDA074826,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074826,US Previously Marketed 1990,PROSOM by ABBOTT,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019080,Insomnia,Approved,
17916-67-5,https://drugs.ncats.io/drug/80VUN7L00C,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,,,
2998-57-4,https://drugs.ncats.io/drug/35LT29625A,US Approved Rx 1981,NDA018045,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018045,US Approved Rx 1981,NDA018045,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018045,Carcinoma of the prostate,Approved,
50-27-1,https://drugs.ncats.io/drug/FB33469R8E,Possibly Marketed Outside US ,WHO-ATC:G03CA04,https://ginas.ncats.nih.gov/ginas/app/substance/FB33469R8E,Possibly Marketed Outside US 2012,NADA141325,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9b6e29b3-7286-4408-9a44-7d8589d1d958,Urinary tract infections; Atrophic vaginitis; Genital prolapse,Phase IV; Phase III; Phase IV,
53-16-7,https://drugs.ncats.io/drug/2DI9HA706A,US Approved Rx 1977,ANDA083220,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=083220,US Previously Marketed 1931,Theelin by Parke Davis,https://en.wikipedia.org/wiki/Estrone_(medication),Endometrial hyperplasia/carcinoma; Menopausal and postmenopausal disorder; Ovarian diseases; Precocious puberty; Amenorrhea; Infertility; Breast cancer; Prostate cancer; Obesity; Endometrial cancer; Benign breast disease; Premenstrual syndrome; Menopausal and postmenopausal disorders,Approved; Approved; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Phase III; Approved,
12126-59-9,https://drugs.ncats.io/drug/IU5QR144QX,US Approved Rx 2003,NDA021417,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021417,US Approved Rx 1942,NDA004782,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=004782,,,
53-16-7,https://drugs.ncats.io/drug/2DI9HA706A,US Approved Rx 1977,ANDA083220,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=083220,US Previously Marketed 1931,Theelin by Parke Davis,https://en.wikipedia.org/wiki/Estrone_(medication),Endometrial hyperplasia/carcinoma; Menopausal and postmenopausal disorder; Ovarian diseases; Precocious puberty; Amenorrhea; Infertility; Breast cancer; Prostate cancer; Obesity; Endometrial cancer; Benign breast disease; Premenstrual syndrome; Menopausal and postmenopausal disorders,Approved; Approved; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Natural Metabolite; Phase III; Approved,
138729-47-2,https://drugs.ncats.io/drug/UZX80K71OE,US Approved Rx 2015,ANDA202929,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202929,US Approved Rx 2004,NDA021476,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021476,Insomnia,Approved,
58-54-8,https://drugs.ncats.io/drug/M5DP350VZV,US Approved Rx 2019,ANDA211232,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211232,US Approved Rx 1967,NDA016093,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016093,Nephrotic syndrome; Congestive heart failure,Approved; Approved,
185243-69-0,https://drugs.ncats.io/drug/OP401G7OJC,US Approved Rx 1998,BLA103795,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103795,US Approved Rx 1998,BLA103795,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103795,,,
1262780-97-1,https://drugs.ncats.io/drug/60ME133FJB,US Approved Rx 2017,NDA208325,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208325,US Approved Rx 2017,NDA208325,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208325,Secondary hyperparathyroidism in adult patients with chronic kidney disease on hemodialysis,Approved,
1173755-55-9,https://drugs.ncats.io/drug/AIW6036FAS,US Approved Rx 2016,NDA206488,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206488,US Approved Rx 2016,NDA206488,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206488,,,
74-55-5,https://drugs.ncats.io/drug/8G167061QZ,US Approved Rx 1999,ANDA075095,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075095,US Approved Rx 1967,NDA016320,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016320,Pulmonary tuberculosis,Approved,
141-43-5,https://drugs.ncats.io/drug/5KV86114PT,Possibly Marketed Outside US 2008,NDA022032,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b6c87a6a-253a-4455-9b7d-62f506da592e,Possibly Marketed Outside US 1980,NADA113232,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d14180ed-329c-464a-a9ac-b7bbf3d59536,Myocardial ischemia,Preclinical,
113-18-8,https://drugs.ncats.io/drug/6EIM3851UZ,US Previously Marketed 1961,PLACIDYL by ABBVIE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010021,US Previously Marketed 1955,Placidyl by Abbott,OB NME Appendix 1950-1985,Insomnia,Approved,
57-63-6,https://drugs.ncats.io/drug/423D2T571U,US Approved Rx 1992,ANDA072693,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=072693,US Previously Marketed 1943,ESTINYL by SCHERING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=005292,Pregnancy,Approved,
536-33-4,https://drugs.ncats.io/drug/OAY8ORS3CQ,US Approved Rx 1965,NDA013026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013026,US Approved Rx 1965,NDA013026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013026,Tuberculosis,Approved,
77-67-8,https://drugs.ncats.io/drug/5SEH9X1D1D,US Approved Rx 2012,ANDA200892,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=200892,US Approved Rx 1960,NDA012380,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012380,Absence epilepsy,Approved,
86-35-1,https://drugs.ncats.io/drug/46QG38NC4U,US Previously Marketed 1957,PEGANONE by RECORDATI RARE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010841,US Previously Marketed 1957,PEGANONE by RECORDATI RARE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010841,Epilepsy,Approved,
107-21-1,https://drugs.ncats.io/drug/FC72KVT52F,Possibly Marketed Outside US 2020,21 CFR 333A,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ada16013-e7cc-2f13-e053-2995a90ae1e3,Possibly Marketed Outside US 2003,NDA021385,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=821073f7-33f6-464d-baed-f66d97987d6d,,,
36637-18-0,https://drugs.ncats.io/drug/I6CQM0F31V,US Previously Marketed 1976,DURANEST by DENTSPLY PHARM,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021384,US Previously Marketed 1976,DURANEST by DENTSPLY PHARM,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021384,Pain,Approved,
2809-21-4,https://drugs.ncats.io/drug/M2F465ROXU,US Previously Marketed 1987,DIDRONEL by MGI PHARMA INC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019545,Possibly Marketed Outside US 1965,M006,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=89577417-76a0-cb04-e053-2995a90a5733,Heterotopic ossification; Paget’s disease of bone,Approved; Approved,
41340-25-4,https://drugs.ncats.io/drug/2M36281008,US Approved Rx 2000,ANDA075665,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075665,US Previously Marketed 1991,LODINE by WYETH PHARMS INC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018922,Osteoarthritis; Acute pain; Rheumatoid arthritis,Approved; Approved; Approved,
33125-97-2,https://drugs.ncats.io/drug/Z22628B598,US Approved Rx 2016,ANDA202354,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202354,US Approved Rx 1982,NDA018227,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018227,Pain,Approved,
54048-10-1,https://drugs.ncats.io/drug/304GTH6RNH,US Approved Rx 2001,NDA021187,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021187,US Approved Rx 2001,NDA021187,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021187,Pregnancy,Approved,
33419-42-0,https://drugs.ncats.io/drug/6PLQ3CP4P3,US Approved Rx 1998,ANDA074983,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074983,US Previously Marketed 1983,VEPESID by CORDEN PHARMA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018768,Refractory testicular tumors; Small-cell lung cancer,Approved; Approved,
117091-64-2,https://drugs.ncats.io/drug/528XYJ8L1N,US Approved Rx 1998,ANDA074983,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074983,US Previously Marketed 1983,VEPESID by CORDEN PHARMA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018768,Refractory testicular tumors; Small-cell lung cancer,Approved; Approved,
269055-15-4,https://drugs.ncats.io/drug/0C50HW4FO1,US Approved Rx 2022,ANDA215402,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=215402,US Approved Rx 2008,NDA022187,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022187,HIV-1 infection,Approved,
1231-93-2,https://drugs.ncats.io/drug/9E01C36A9S,US Approved Rx 2018,ANDA209547,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209547,US Previously Marketed 1966,OVULEN by GD SEARLE LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016029,Pregnancy,Approved,
97-53-0,https://drugs.ncats.io/drug/3T8H1794QW,US Approved Allergenic Extract 1994,BLA103738,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2f082b68-dc74-418a-9e6f-b3c285b41d44,US Previously Marketed 1921,Eugenol U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Toothache,Approved,
84625-35-4,https://drugs.ncats.io/drug/80VUN7L00C,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,,,
308064-97-3,https://drugs.ncats.io/drug/3Q9L08K71N,Possibly Marketed Outside US ,Evening Primrose Oil With Vitamin E by Ashbury Research Corporation [Canada],https://www.drugbank.ca/drugs/DB11358,US Approved Rx 2001,21 CFR 352,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6ba437d1-d96f-4235-bebf-611eb09ea11d,,,
159351-69-6,https://drugs.ncats.io/drug/9HW64Q8G6G,US Approved Rx 2021,ANDA205426,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205426,US Approved Rx 2009,NDA022334,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022334,"Advanced hormone receptor-positive, HER2­ negative breast cancer; Neuroendocrine tumors; Advanced renal cell carcinoma",Approved; Approved; Approved,
1180-71-8,https://drugs.ncats.io/drug/L0F260866S,,,,,,,Neuroblastoma; HIV-1 infection; Colon cancer,Basic research; Basic research; Basic research,
1256937-27-5,https://drugs.ncats.io/drug/LKC0U3A8NJ,US Approved Rx 2015,BLA125522,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125522,US Approved Rx 2015,BLA125522,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125522,,,
107868-30-4,https://drugs.ncats.io/drug/NY22HMQ4BX,US Approved Rx 2020,ANDA213547,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213547,US Approved Rx 1999,NDA020753,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020753,Estrogen-receptor positive early breast cancer; Advanced breast cancer in postmenopausal women,Approved; Approved,
141758-74-9,https://drugs.ncats.io/drug/9P1872D4OL,US Approved Rx 2005,NDA021773,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021773,US Approved Rx 2005,NDA021773,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021773,Type 2 diabetes mellitus,Approved,
7553-56-2,https://drugs.ncats.io/drug/9679TC07X4,US Approved OTC ,21 CFR 333.210(d) antifungal povidone-iodine,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec333-210.xml,US Previously Marketed 1921,Iodine U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,antiseptic,Approved,
163222-33-1,https://drugs.ncats.io/drug/EOR26LQQ24,US Approved Rx 2022,ANDA210859,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210859,US Approved Rx 2002,NDA021445,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021445,Homozygous familial sitosterolemia; Homozygous familial hypercholesterolemia; Hyperlipidemia,Approved; Approved; Approved,
69-72-7,https://drugs.ncats.io/drug/O414PZ4LPZ,US Approved OTC ,21 CFR 358.110(b) wart remover:collodoin-like vehicle salicylic acid,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec358-110.xml,US Previously Marketed 1860,sodium salicylate,https://catalog.hathitrust.org/Record/100782317,Psoriasis; Ichthyosis vulgaris; Keratosis palmaris; Bruises; Arthritis; Strains and sprains; Simple backache,Approved; Approved; Approved; Approved; Approved; Approved; Approved,
69-72-7,https://drugs.ncats.io/drug/O414PZ4LPZ,US Approved OTC ,21 CFR 358.110(b) wart remover:collodoin-like vehicle salicylic acid,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec358-110.xml,US Previously Marketed 1860,sodium salicylate,https://catalog.hathitrust.org/Record/100782317,Psoriasis; Ichthyosis vulgaris; Keratosis palmaris; Bruises; Arthritis; Strains and sprains; Simple backache,Approved; Approved; Approved; Approved; Approved; Approved; Approved,
69-72-7,https://drugs.ncats.io/drug/O414PZ4LPZ,US Approved OTC ,21 CFR 358.110(b) wart remover:collodoin-like vehicle salicylic acid,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec358-110.xml,US Previously Marketed 1860,sodium salicylate,https://catalog.hathitrust.org/Record/100782317,Psoriasis; Ichthyosis vulgaris; Keratosis palmaris; Bruises; Arthritis; Strains and sprains; Simple backache,Approved; Approved; Approved; Approved; Approved; Approved; Approved,
17493-86-6,https://drugs.ncats.io/drug/80VUN7L00C,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,,,
78690-39-8,https://drugs.ncats.io/drug/6O01GMS00P,US Approved Rx 2023,NDA216873,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216873,US Approved Rx 2023,NDA216873,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216873,Pancreatic cancer; Non-small cell lung cancer; Secondary myelofibrosis (post-polycythemia vera and post-essential thrombocythemia); Primary myelofibrosis,Phase III; Phase I; Phase III; Phase III,
109319-16-6,https://drugs.ncats.io/drug/5PKM8P0G5I,Possibly Marketed Outside US ,Vonvendi by Shire Pharma Canada Ulc [Canada],https://www.drugbank.ca/drugs/DB12872,,,,,,
97089-56-0,https://drugs.ncats.io/drug/80VUN7L00C,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,,,
104227-87-4,https://drugs.ncats.io/drug/QIC03ANI02,US Approved Rx 1996,NDA020629,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020629,US Previously Marketed 1994,FAMVIR by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020363,Recurrent herpes labialis,Approved,
76824-35-6,https://drugs.ncats.io/drug/5QZO15J2Z8,US Approved Rx 2023,ANDA218181,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=218181,US Previously Marketed 1986,PEPCID by BAUSCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019462,Duodenal ulcer; Gastric ulcer; Gastroesophageal reflux disease,Approved; Approved; Approved,
504-24-5,https://drugs.ncats.io/drug/BH3B64OKL9,US Approved Rx 2018,ANDA206863,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206863,US Approved Rx 2010,NDA022250,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022250,Multiple sclerosis,Approved,
1957-10-03,https://drugs.ncats.io/drug/2V16EO95H1,Possibly Marketed Outside US ,"Sha-lem by Shalem Products, Inc.",https://www.drugbank.ca/drugs/DB03796,Possibly Marketed Outside US 1990,21 CFR 358A,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6eef6b11-20c2-4665-a5dd-cce4e790102e,Respiratory distress syndrome in premature infants,Approved,
144060-53-7,https://drugs.ncats.io/drug/101V0R1N2E,US Approved Rx 2021,ANDA212924,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212924,US Approved Rx 2009,NDA021856,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021856,Hyperuricemia in patients with gout,Approved,
25451-15-4,https://drugs.ncats.io/drug/X72RBB02N8,US Approved Rx 2016,ANDA204595,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204595,US Approved Rx 1993,NDA020189,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020189,Epilepsy,Approved,
72509-76-3,https://drugs.ncats.io/drug/OL961R6O2C,US Approved Rx 2018,ANDA210847,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210847,US Previously Marketed 1991,PLENDIL by ASTRAZENECA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019834,Hypertension,Approved,
133-11-9,https://drugs.ncats.io/drug/52936SIP7V,US Previously Marketed 1961,PHENY-PAS-TEBAMIN by PHARM RES ASSOC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011695,US Previously Marketed 1959,Pheny-PAS-Tebamin by Purdue Frederick,DeHaen 1940-1975 NMEs,Tuberculosis,Approved,
43210-67-9,https://drugs.ncats.io/drug/621BVT9M36,Possibly Marketed Outside US ,Canada:FENBENDAZOLE,https://tripod.nih.gov/npc/#Download,Possibly Marketed Outside US 1977,NADA128620,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=859d4e30-d70c-4baf-aa62-0d3feff25057,Cancer; Gastrointestinal parasitic disease,Basic research; Approved,
458-24-2,https://drugs.ncats.io/drug/2DS058H2CF,US Approved Rx 2020,NDA212102,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212102,US Previously Marketed 1973,Pondimin by Robins,OB NME Appendix 1950-1985,Dravet syndrome; Lennox gastaut syndrome; Seizure disorders; Obesity; Epilepsy,Phase III; Phase II; Phase III; Approved; Phase II,
